UCSD Map of Science (2001-2010)				
Katy Börner, Richard Klavans, Michael Patek, Angela M. Zoss, Joseph R. Biberstine, Robert P. Light, Vincent Larivière, and Kevin W. Boyack				
Cyberinfrastructure for Network Science Center, School of Library and Information Science, Indiana University				
SciTech Strategies, Inc				
École de bibliothéconomie et des sciences de l’information, Université de Montréal				
Observatoire des Sciences et des Technologies (OST), Centre Interuniversitaire de Recherche sur la Science et la Technologie (CIRST), Université du Québec à Montréal				
Last Updated June 18, 2013				
Please cite as:	Börner, Katy, Richard Klavans, Michael Patek, Angela Zoss, Joseph R. Biberstine, Robert Light, Vincent Larivière, and Kevin W. Boyack (2012) Design and Update of a Classification System: The UCSD Map of Science. PLoS ONE 7(7): e39464. doi:10.1371/journal.pone.0039464			
Website:	http://sci.cns.iu.edu/ucsdmap/			
Contact:				
				
Table 2: Discipline look-up table				
disc_id	disc_name	x	y	color
1	Biology	278	62	OliveGreen
2	Biotechnology	301	124	Emerald
3	Medical Specialties	350	177	Red
4	Chemical, Mechanical, & Civil Engineering	217	142	SkyBlue
5	Chemistry	250	230	Blue
6	Earth Sciences	235	48	Mahogany
7	Electrical Engineering & Computer Science	138	196	Lavender
8	Brain Research	410	171	Dandelion
9	Humanities	484	42	Canary
10	Infectious Diseases	359	149	BrickRed
11	Math & Physics	156	229	Mulberry
12	Health Professionals	390	245	Peach
13	Social Sciences	484	147	Yellow
