nome,id
Ro-Alta Floresta D Oeste,1100015
Ro-Ariquemes,1100023
Ro-Cabixi,1100031
Ro-Cacoal,1100049
Ro-Cerejeiras,1100056
Ro-Colorado do Oeste,1100064
Ro-Corumbiara,1100072
Ro-Costa Marques,1100080
Ro-Espigao D Oeste,1100098
Ro-Guajara-Mirim,1100106
Ro-Jaru,1100114
Ro-Ji-Parana,1100122
Ro-Machadinho D Oeste,1100130
Ro-Nova Brasilandia D Oeste,1100148
Ro-Ouro Preto do Oeste,1100155
Ro-Pimenta Bueno,1100189
Ro-Porto Velho,1100205
Ro-Presidente Medici,1100254
Ro-Rio Crespo,1100262
Ro-Rolim de Moura,1100288
Ro-Santa Luzia D Oeste,1100296
Ro-Vilhena,1100304
Ro-Sao Miguel do Guapore,1100320
Ro-Nova Mamore,1100338
Ro-Alvorada D Oeste,1100346
Ro-Alto Alegre dos Parecis,1100379
Ro-Alto Paraiso,1100403
Ro-Buritis,1100452
Ro-Novo Horizonte do Oeste,1100502
Ro-Cacaulandia,1100601
Ro-Campo Novo de Rondonia,1100700
Ro-Candeias do Jamari,1100809
Ro-Castanheiras,1100908
Ro-Chupinguaia,1100924
Ro-Cujubim,1100940
Ro-Governador Jorge Teixeira,1101005
Ro-Itapua do Oeste,1101104
Ro-Ministro Andreazza,1101203
Ro-Mirante da Serra,1101302
Ro-Monte Negro,1101401
Ro-Nova Uniao,1101435
Ro-Parecis,1101450
Ro-Pimenteiras do Oeste,1101468
Ro-Primavera de Rondonia,1101476
Ro-Sao Felipe D Oeste,1101484
Ro-Sao Francisco do Guapore,1101492
Ro-Seringueiras,1101500
Ro-Teixeiropolis,1101559
Ro-Theobroma,1101609
Ro-Urupa,1101708
Ro-Vale do Anari,1101757
Ro-Vale do Paraiso,1101807
Ac-Acrelandia,1200013
Ac-Assis Brasil,1200054
Ac-Brasileia,1200104
Ac-Bujari,1200138
Ac-Capixaba,1200179
Ac-Cruzeiro do Sul,1200203
Ac-Epitaciolandia,1200252
Ac-Feijo,1200302
Ac-Jordao,1200328
Ac-Mancio Lima,1200336
Ac-Manoel Urbano,1200344
Ac-Marechal Thaumaturgo,1200351
Ac-Placido de Castro,1200385
Ac-Porto Walter,1200393
Ac-Rio Branco,1200401
Ac-Rodrigues Alves,1200427
Ac-Santa Rosa do Purus,1200435
Ac-Senador Guiomard,1200450
Ac-Sena Madureira,1200500
Ac-Tarauaca,1200609
Ac-Xapuri,1200708
Ac-Porto Acre,1200807
Am-Alvaraes,1300029
Am-Amatura,1300060
Am-Anama,1300086
Am-Anori,1300102
Am-Apui,1300144
Am-Atalaia do Norte,1300201
Am-Autazes,1300300
Am-Barcelos,1300409
Am-Barreirinha,1300508
Am-Benjamin Constant,1300607
Am-Beruri,1300631
Am-Boa Vista do Ramos,1300680
Am-Boca do Acre,1300706
Am-Borba,1300805
Am-Caapiranga,1300839
Am-Canutama,1300904
Am-Carauari,1301001
Am-Careiro,1301100
Am-Careiro da Varzea,1301159
Am-Coari,1301209
Am-Codajas,1301308
Am-Eirunepe,1301407
Am-Envira,1301506
Am-Fonte Boa,1301605
Am-Guajara,1301654
Am-Humaita,1301704
Am-Ipixuna,1301803
Am-Iranduba,1301852
Am-Itacoatiara,1301902
Am-Itamarati,1301951
Am-Itapiranga,1302009
Am-Japura,1302108
Am-Jurua,1302207
Am-Jutai,1302306
Am-Labrea,1302405
Am-Manacapuru,1302504
Am-Manaquiri,1302553
Am-Manaus,1302603
Am-Manicore,1302702
Am-Maraa,1302801
Am-Maues,1302900
Am-Nhamunda,1303007
Am-Nova Olinda do Norte,1303106
Am-Novo Airao,1303205
Am-Novo Aripuana,1303304
Am-Parintins,1303403
Am-Pauini,1303502
Am-Presidente Figueiredo,1303536
Am-Rio Preto da Eva,1303569
Am-Santa Isabel do Rio Negro,1303601
Am-Santo Antonio do Ica,1303700
Am-Sao Gabriel da Cachoeira,1303809
Am-Sao Paulo de Olivenca,1303908
Am-Sao Sebastiao do Uatuma,1303957
Am-Silves,1304005
Am-Tabatinga,1304062
Am-Tapaua,1304104
Am-Tefe,1304203
Am-Tonantins,1304237
Am-Uarini,1304260
Am-Urucara,1304302
Am-Urucurituba,1304401
Rr-Amajari,1400027
Rr-Alto Alegre,1400050
Rr-Boa Vista,1400100
Rr-Bonfim,1400159
Rr-Canta,1400175
Rr-Caracarai,1400209
Rr-Caroebe,1400233
Rr-Iracema,1400282
Rr-Mucajai,1400308
Rr-Normandia,1400407
Rr-Pacaraima,1400456
Rr-Rorainopolis,1400472
Rr-Sao Joao da Baliza,1400506
Rr-Sao Luiz,1400605
Rr-Uiramuta,1400704
Pa-Abaetetuba,1500107
Pa-Abel Figueiredo,1500131
Pa-Acara,1500206
Pa-Afua,1500305
Pa-Agua Azul do Norte,1500347
Pa-Alenquer,1500404
Pa-Almeirim,1500503
Pa-Altamira,1500602
Pa-Anajas,1500701
Pa-Ananindeua,1500800
Pa-Anapu,1500859
Pa-Augusto Correa,1500909
Pa-Aurora do Para,1500958
Pa-Aveiro,1501006
Pa-Bagre,1501105
Pa-Baiao,1501204
Pa-Bannach,1501253
Pa-Barcarena,1501303
Pa-Belem,1501402
Pa-Belterra,1501451
Pa-Benevides,1501501
Pa-Bom Jesus do Tocantins,1501576
Pa-Bonito,1501600
Pa-Braganca,1501709
Pa-Brasil Novo,1501725
Pa-Brejo Grande do Araguaia,1501758
Pa-Breu Branco,1501782
Pa-Breves,1501808
Pa-Bujaru,1501907
Pa-Cachoeira do Piria,1501956
Pa-Cachoeira do Arari,1502004
Pa-Cameta,1502103
Pa-Canaa dos Carajas,1502152
Pa-Capanema,1502202
Pa-Capitao Poco,1502301
Pa-Castanhal,1502400
Pa-Chaves,1502509
Pa-Colares,1502608
Pa-Conceicao do Araguaia,1502707
Pa-Concordia do Para,1502756
Pa-Cumaru do Norte,1502764
Pa-Curionopolis,1502772
Pa-Curralinho,1502806
Pa-Curua,1502855
Pa-Curuca,1502905
Pa-Dom Eliseu,1502939
Pa-Eldorado do Carajas,1502954
Pa-Faro,1503002
Pa-Floresta do Araguaia,1503044
Pa-Garrafao do Norte,1503077
Pa-Goianesia do Para,1503093
Pa-Gurupa,1503101
Pa-Igarape-Acu,1503200
Pa-Igarape-Miri,1503309
Pa-Inhangapi,1503408
Pa-Ipixuna do Para,1503457
Pa-Irituia,1503507
Pa-Itaituba,1503606
Pa-Itupiranga,1503705
Pa-Jacareacanga,1503754
Pa-Jacunda,1503804
Pa-Juruti,1503903
Pa-Limoeiro do Ajuru,1504000
Pa-Mae do Rio,1504059
Pa-Magalhaes Barata,1504109
Pa-Maraba,1504208
Pa-Maracana,1504307
Pa-Marapanim,1504406
Pa-Marituba,1504422
Pa-Medicilandia,1504455
Pa-Melgaco,1504505
Pa-Mocajuba,1504604
Pa-Moju,1504703
Pa-Mojui dos Campos,1504752
Pa-Monte Alegre,1504802
Pa-Muana,1504901
Pa-Nova Esperanca do Piria,1504950
Pa-Nova Ipixuna,1504976
Pa-Nova Timboteua,1505007
Pa-Novo Progresso,1505031
Pa-Novo Repartimento,1505064
Pa-Obidos,1505106
Pa-Oeiras do Para,1505205
Pa-Oriximina,1505304
Pa-Ourem,1505403
Pa-Ourilandia do Norte,1505437
Pa-Pacaja,1505486
Pa-Palestina do Para,1505494
Pa-Paragominas,1505502
Pa-Parauapebas,1505536
Pa-Pau D Arco,1505551
Pa-Peixe-Boi,1505601
Pa-Picarra,1505635
Pa-Placas,1505650
Pa-Ponta de Pedras,1505700
Pa-Portel,1505809
Pa-Porto de Moz,1505908
Pa-Prainha,1506005
Pa-Primavera,1506104
Pa-Quatipuru,1506112
Pa-Redencao,1506138
Pa-Rio Maria,1506161
Pa-Rondon do Para,1506187
Pa-Ruropolis,1506195
Pa-Salinopolis,1506203
Pa-Salvaterra,1506302
Pa-Santa Barbara do Para,1506351
Pa-Santa Cruz do Arari,1506401
Pa-Santa Izabel do Para,1506500
Pa-Santa Luzia do Para,1506559
Pa-Santa Maria das Barreiras,1506583
Pa-Santa Maria do Para,1506609
Pa-Santana do Araguaia,1506708
Pa-Santarem,1506807
Pa-Santarem Novo,1506906
Pa-Santo Antonio do Taua,1507003
Pa-Sao Caetano de Odivelas,1507102
Pa-Sao Domingos do Araguaia,1507151
Pa-Sao Domingos do Capim,1507201
Pa-Sao Felix do Xingu,1507300
Pa-Sao Francisco do Para,1507409
Pa-Sao Geraldo do Araguaia,1507458
Pa-Sao Joao da Ponta,1507466
Pa-Sao Joao de Pirabas,1507474
Pa-Sao Joao do Araguaia,1507508
Pa-Sao Miguel do Guama,1507607
Pa-Sao Sebastiao da Boa Vista,1507706
Pa-Sapucaia,1507755
Pa-Senador Jose Porfirio,1507805
Pa-Soure,1507904
Pa-Tailandia,1507953
Pa-Terra Alta,1507961
Pa-Terra Santa,1507979
Pa-Tome-Acu,1508001
Pa-Tracuateua,1508035
Pa-Trairao,1508050
Pa-Tucuma,1508084
Pa-Tucurui,1508100
Pa-Ulianopolis,1508126
Pa-Uruara,1508159
Pa-Vigia,1508209
Pa-Viseu,1508308
Pa-Vitoria do Xingu,1508357
Pa-Xinguara,1508407
Ap-Serra do Navio,1600055
Ap-Amapa,1600105
Ap-Pedra Branca do Amapari,1600154
Ap-Calcoene,1600204
Ap-Cutias,1600212
Ap-Ferreira Gomes,1600238
Ap-Itaubal,1600253
Ap-Laranjal do Jari,1600279
Ap-Macapa,1600303
Ap-Mazagao,1600402
Ap-Oiapoque,1600501
Ap-Porto Grande,1600535
Ap-Pracuuba,1600550
Ap-Santana,1600600
Ap-Tartarugalzinho,1600709
Ap-Vitoria do Jari,1600808
To-Abreulandia,1700251
To-Aguiarnopolis,1700301
To-Alianca do Tocantins,1700350
To-Almas,1700400
To-Alvorada,1700707
To-Ananas,1701002
To-Angico,1701051
To-Aparecida do Rio Negro,1701101
To-Aragominas,1701309
To-Araguacema,1701903
To-Araguacu,1702000
To-Araguaina,1702109
To-Araguana,1702158
To-Araguatins,1702208
To-Arapoema,1702307
To-Arraias,1702406
To-Augustinopolis,1702554
To-Aurora do Tocantins,1702703
To-Axixa do Tocantins,1702901
To-Babaculandia,1703008
To-Bandeirantes do Tocantins,1703057
To-Barra do Ouro,1703073
To-Barrolandia,1703107
To-Bernardo Sayao,1703206
To-Bom Jesus do Tocantins,1703305
To-Brasilandia do Tocantins,1703602
To-Brejinho de Nazare,1703701
To-Buriti do Tocantins,1703800
To-Cachoeirinha,1703826
To-Campos Lindos,1703842
To-Cariri do Tocantins,1703867
To-Carmolandia,1703883
To-Carrasco Bonito,1703891
To-Caseara,1703909
To-Centenario,1704105
To-Chapada de Areia,1704600
To-Chapada da Natividade,1705102
To-Colinas do Tocantins,1705508
To-Combinado,1705557
To-Conceicao do Tocantins,1705607
To-Couto Magalhaes,1706001
To-Cristalandia,1706100
To-Crixas do Tocantins,1706258
To-Darcinopolis,1706506
To-Dianopolis,1707009
To-Divinopolis do Tocantins,1707108
To-Dois Irmaos do Tocantins,1707207
To-Duere,1707306
To-Esperantina,1707405
To-Fatima,1707553
To-Figueiropolis,1707652
To-Filadelfia,1707702
To-Formoso do Araguaia,1708205
To-Fortaleza do Tabocao,1708254
To-Goianorte,1708304
To-Goiatins,1709005
To-Guarai,1709302
To-Gurupi,1709500
To-Ipueiras,1709807
To-Itacaja,1710508
To-Itaguatins,1710706
To-Itapiratins,1710904
To-Itapora do Tocantins,1711100
To-Jau do Tocantins,1711506
To-Juarina,1711803
