ID_da_instituicao	ID_da_disciplina	Ano	Publicacoes
867100000004	5	2014	18
867100000004	2	2014	5
867100000004	13	2013	6
867100000004	8	2013	7
867100000004	5	2012	20
867100000004	5	2011	17
867100000004	5	2010	19
867100000004	12	2010	13
121100000001	12	2013	7
121100000001	3	2010	5
033400000004	5	2015	17
033400000004	10	2014	9
024700000000	10	2015	13
024700000000	10	2010	12
198100000000	4	2014	32
010300000003	5	2013	26
010300000003	5	2012	30
010300000003	5	2011	25
002100000009	4	2015	32
002100000009	7	2010	38
198100000000	5	2015	24
198100000000	5	2013	25
198100000000	5	2010	25
007900000004	5	2015	29
007900000004	5	2014	30
007900000004	5	2013	31
007900000004	5	2012	29
007900000004	4	2012	44
007900000004	5	2011	31
007900000004	11	2011	28
007900000004	5	2010	29
033300000002	3	2015	60
033300000002	10	2015	23
033300000002	1	2015	39
033300000002	1	2014	34
033300000002	10	2014	23
033300000002	12	2014	54
033300000002	3	2013	60
033300000002	1	2013	40
033300000002	10	2013	22
033300000002	10	2012	23
033300000002	1	2012	38
033300000002	1	2011	38
033300000002	3	2011	59
033300000002	1	2010	35
087000000006	5	2014	23
087000000006	1	2012	21
087000000006	10	2011	18
087000000006	1	2011	26
003900000001	5	2011	22
001700000990	12	2014	7
001700000990	5	2014	5
001700000990	3	2014	14
001700000990	10	2014	6
001700000990	12	2013	7
001700000990	5	2013	2
001700000990	3	2013	13
001700000990	10	2013	7
001700000990	3	2012	13
001700000990	12	2012	12
001700000990	2	2010	2
033700000000	1	2014	31
033700000000	1	2013	30
033700000000	10	2011	19
033700000000	1	2011	31
033700000000	5	2010	21
033700000000	10	2010	19
000300000006	10	2012	11
000300000006	5	2011	18
007900000004	13	2014	31
007900000004	13	2012	27
006700000002	2	2015	11
006700000002	5	2014	31
006700000002	2	2013	11
006700000002	5	2012	31
006700000002	2	2012	11
006700000002	5	2010	31
006700000002	10	2010	23
003000000005	4	2015	3
003000000005	4	2014	2
003000000005	5	2013	1
082000000005	12	2014	1
082000000005	12	2012	1
019200000005	12	2015	52
004300000009	2	2013	10
004300000009	5	2013	29
004300000009	8	2013	15
004300000009	10	2013	20
004300000009	10	2010	21
003900000001	5	2012	25
003900000001	5	2010	23
006700000002	1	2014	38
006700000002	10	2012	23
003900000001	8	2015	16
003900000001	1	2014	27
003900000001	12	2013	36
006700000002	10	2011	23
006700000002	1	2010	41
032900000005	8	2015	9
032900000005	8	2014	6
032900000005	3	2014	14
032900000005	12	2014	22
032900000005	4	2012	19
032900000005	1	2011	32
032900000005	2	2011	8
032900000005	1	2010	29
033700000000	12	2012	23
024000000008	5	2015	26
024000000008	7	2015	20
024000000008	7	2013	23
020200000009	12	2014	41
020200000009	2	2014	10
020200000009	12	2011	49
020200000009	12	2010	46
006700000002	3	2015	67
006700000002	3	2013	66
006700000002	3	2012	66
006700000002	8	2012	27
006700000002	3	2011	66
006700000002	3	2010	67
IZF500000008	12	2014	1
IZF500000008	12	2012	1
024000000008	4	2014	31
008400000003	1	2010	31
001501001016	11	2015	1
001501001016	4	2014	4
001501001016	4	2013	1
001501001016	4	2011	2
001501001016	4	2010	2
061400000000	10	2015	5
061400000000	3	2014	18
061400000000	10	2014	4
061400000000	10	2013	8
061400000000	1	2013	8
061400000000	10	2012	5
061400000000	3	2012	20
061400000000	3	2011	18
061400000000	10	2011	5
061400000000	2	2011	3
061400000000	10	2010	9
032600000000	10	2015	18
032600000000	2	2015	8
032600000000	3	2014	53
032600000000	10	2014	17
032600000000	1	2013	29
032600000000	2	2013	7
032600000000	10	2013	16
000600000001	4	2011	10
081100000009	4	2015	14
081100000009	5	2014	12
081100000009	11	2014	5
081100000009	4	2012	12
081100000009	4	2011	12
019200000005	6	2015	18
019200000005	6	2012	16
033500000006	13	2015	26
033200000000	12	2015	16
033200000000	3	2015	28
033200000000	3	2014	19
033200000000	12	2014	12
033200000000	3	2013	18
033200000000	10	2013	16
033200000000	12	2013	13
033200000000	3	2012	16
033200000000	10	2012	13
033200000000	10	2011	17
033200000000	3	2011	18
192900000005	1	2010	4
586600000000	12	2012	9
001200000991	3	2011	21
009200000008	1	2015	31
009200000008	4	2015	19
009200000008	1	2014	37
009200000008	5	2013	22
009200000008	10	2013	21
009200000008	4	2013	20
009200000008	5	2012	17
009200000008	1	2012	33
009200000008	1	2011	34
009200000008	1	2010	33
006700000002	12	2012	60
006700000002	12	2010	62
807700000001	3	2014	3
807700000001	3	2013	4
449300000004	5	2010	2
000200000993	12	2010	30
029100000000	12	2011	37
029100000000	2	2011	9
JCPL00000005	1	2015	1
JCPL00000005	10	2015	2
JCPL00000005	10	2014	2
JCPL00000005	1	2014	1
JCPL00000005	10	2013	1
008000000006	11	2014	8
008000000006	11	2013	10
008000000006	11	2012	11
008000000006	11	2010	10
008900000002	12	2010	21
IYD400000002	3	2015	1
020200000009	5	2012	29
004400000000	11	2015	13
007400000005	7	2015	5
007400000005	11	2014	2
007400000005	7	2014	6
007400000005	7	2013	4
007400000005	7	2011	7
007400000005	7	2010	5
008900000002	5	2014	25
007900000004	3	2014	58
007900000004	3	2013	61
007900000004	3	2011	61
080400000006	11	2010	10
117700000004	3	2012	8
038400000005	3	2011	55
J1GS00000009	8	2014	1
004100000005	2	2014	10
004100000005	3	2014	10
004100000005	10	2014	11
004100000005	8	2014	5
004100000005	1	2014	7
004100000005	3	2013	20
004100000005	2	2013	9
004100000005	10	2013	12
004100000005	8	2013	7
004100000005	1	2013	22
003900000001	1	2012	29
006200000003	12	2010	52
006700000002	7	2015	46
006700000002	12	2014	57
006700000002	12	2013	63
006700000002	12	2011	60
000500000999	3	2015	33
033700000000	8	2015	20
033700000000	12	2010	23
033400000004	5	2014	20
033400000004	5	2013	16
033400000004	5	2012	21
033400000004	6	2012	6
033400000004	6	2011	5
033400000004	5	2011	23
033400000004	5	2010	21
033000000007	2	2013	9
033000000007	2	2011	10
033000000007	4	2011	40
033000000007	2	2010	11
033000000007	5	2010	28
IX9M00000000	1	2015	2
IX9M00000000	2	2014	1
IX9M00000000	12	2012	1
033700000000	12	2015	30
033700000000	2	2015	9
002500000006	11	2015	12
002500000006	12	2015	1
002500000006	8	2014	2
002500000006	12	2013	1
002500000006	5	2013	8
002500000006	4	2013	4
002500000006	4	2012	5
002500000006	11	2012	15
002500000006	5	2012	13
002500000006	12	2012	6
002500000006	5	2011	8
002500000006	3	2011	4
002500000006	4	2011	4
002500000006	5	2010	8
002500000006	6	2010	1
024700000000	1	2010	2
502700000001	1	2013	2
006700000002	1	2012	41
006700000002	13	2010	44
006200000003	13	2014	18
006200000003	9	2012	5
006200000003	9	2010	4
020200000009	10	2015	17
020200000009	10	2011	21
003900000001	5	2015	21
003900000001	10	2015	22
003900000001	1	2015	23
003900000001	3	2013	55
003900000001	1	2013	28
003900000001	10	2013	23
003900000001	10	2011	23
020200000009	5	2014	30
906100000009	13	2011	1
000800000994	1	2010	19
032700000001	5	2015	26
032700000001	5	2014	25
032700000001	2	2014	9
032700000001	10	2014	19
032700000001	10	2013	15
032700000001	2	2013	9
032700000001	5	2011	20
985600162083	5	2010	2
033400000004	3	2014	18
033400000004	10	2011	8
033100000009	10	2015	8
033100000009	10	2014	17
033100000009	3	2014	21
033100000009	3	2012	15
033100000009	3	2010	13
008900000002	3	2013	37
171500000005	5	2015	5
171500000005	12	2014	4
171500000005	5	2014	6
171500000005	3	2014	6
171500000005	5	2012	7
171500000005	5	2010	7
885300000006	10	2014	7
885300000006	10	2012	7
885300000006	10	2011	5
885300000006	10	2010	4
003900000001	3	2015	49
003900000001	8	2013	19
IX2400000007	13	2015	5
IX2400000007	13	2012	6
001600000999	1	2013	3
001600000999	1	2012	4
001600000999	1	2011	4
001600000999	4	2010	3
001600000999	1	2010	11
198100000000	3	2015	20
198100000000	3	2014	8
198100000000	3	2012	8
198100000000	3	2010	8
002100000009	1	2015	37
004300000009	5	2015	28
004300000009	2	2011	10
006700000002	4	2013	59
006700000002	5	2013	30
006700000002	5	2015	30
006700000002	10	2015	23
006700000002	10	2014	23
006700000002	3	2014	65
006700000002	2	2014	11
006700000002	8	2014	26
006700000002	10	2013	23
006700000002	11	2013	28
006700000002	5	2011	31
006700000002	1	2011	41
011100000008	11	2015	20
011100000008	11	2013	21
020200000009	12	2015	49
020200000009	12	2013	51
020200000009	12	2012	48
000500000999	8	2013	12
501100000002	13	2013	3
004300000009	1	2010	32
930820000000	6	2015	1
930820000000	1	2015	1
930820000000	13	2014	1
930820000000	4	2014	1
930820000000	6	2012	3
930820000000	1	2012	7
930820000000	6	2011	3
930820000000	1	2011	7
930820000000	4	2011	4
930820000000	5	2011	1
930820000000	6	2010	2
930820000000	1	2010	1
008900000002	4	2014	32
008900000002	4	2013	29
007200000001	10	2013	9
007200000001	10	2012	6
008200000000	8	2011	5
780900000000	3	2013	14
029100000000	10	2012	17
029100000000	3	2010	37
342800000000	3	2015	4
342800000000	4	2015	11
342800000000	2	2014	2
342800000000	3	2013	17
342800000000	3	2012	6
342800000000	12	2011	6
342800000000	3	2010	7
567200000007	1	2014	12
567200000007	1	2013	9
567200000007	1	2012	5
567200000007	6	2012	2
567200000007	1	2010	8
000500000999	5	2014	13
000500000999	5	2013	11
000500000999	5	2012	12
000500000999	5	2011	16
000500000999	5	2010	14
006700000002	8	2013	27
033700000000	11	2013	11
033300000002	5	2011	28
I3CJ00000006	10	2010	9
