ID_da_instituicao	Publicacoes
867100000004	646
121100000001	184
033400000004	739
024700000000	252
198100000000	1032
010300000003	1707
002100000009	1814
007900000004	2308
033300000002	2258
087000000006	790
003900000001	1440
001700000990	216
033700000000	1459
000300000006	879
006700000002	2754
003000000005	12
082000000005	4
019200000005	2272
004300000009	2019
032900000005	1092
024000000008	1877
020200000009	2333
IZF500000008	8
008400000003	711
001501001016	18
061400000000	512
032600000000	1701
000600000001	1332
081100000009	483
033500000006	1580
033200000000	875
192900000005	184
586600000000	94
001200000991	407
009200000008	978
807700000001	207
449300000004	39
000200000993	1462
029100000000	1427
JCPL00000005	18
008000000006	1001
008900000002	1492
IYD400000002	2
004400000000	1111
007400000005	47
080400000006	1061
117700000004	175
038400000005	702
J1GS00000009	59
004100000005	698
006200000003	1712
000500000999	829
033000000007	2137
IX9M00000000	45
002500000006	259
502700000001	108
906100000009	2
000800000994	637
032700000001	1274
985600162083	9
033100000009	840
171500000005	167
885300000006	93
IX2400000007	130
001600000999	253
011100000008	924
501100000002	172
930820000000	53
007200000001	361
008200000000	731
780900000000	93
342800000000	417
567200000007	245
I3CJ00000006	419
460900000006	370
870400000000	316
306200000002	443
I22A00000002	352
027200000006	95
005900000008	534
892700000006	203
832500000009	562
884100000004	92
007000000008	964
020100000007	253
653900000006	99
004500000002	1277
482000000000	83
J32200000000	401
168400000003	2
014000000000	458
001300000993	354
002000000996	354
778500000000	396
308200000009	136
288200000000	124
173700000005	26
010600000009	1496
F3V900000009	254
ISUL00000001	29
004000000003	470
811900000003	143
446900000000	708
008700000009	771
001500000008	1423
350700000009	198
039200000000	1353
021100000005	595
065800000000	485
387300000000	342
000900000996	466
000600000990	684
412700000002	509
431200000000	136
000500000000	1534
000300000995	985
478800000007	337
032100000000	516
016700000000	804
000100000002	682
032300000004	806
046100000000	84
350300000001	21
002800000001	518
768700000007	204
520900000003	127
000900000007	405
985600079623	25
294800000006	223
032603005010	2
125200000006	339
IXXU00000008	407
754000000004	192
833700000000	137
008300000001	1235
033600000008	1057
985601346269	5
530400000001	86
000400000997	1084
584200000007	344
413700000000	66
173800000007	68
