ID_da_instituicao	Ano	Publicacoes
867100000004	2014	89
867100000004	2013	103
867100000004	2012	103
867100000004	2011	102
867100000004	2010	147
121100000001	2013	24
121100000001	2010	37
033400000004	2015	116
033400000004	2014	122
024700000000	2015	30
024700000000	2010	40
198100000000	2014	164
010300000003	2013	308
010300000003	2012	272
010300000003	2011	280
002100000009	2015	280
002100000009	2010	336
198100000000	2015	216
198100000000	2013	188
198100000000	2010	151
007900000004	2015	374
007900000004	2014	401
007900000004	2013	402
007900000004	2012	376
007900000004	2011	380
007900000004	2010	375
033300000002	2015	390
033300000002	2014	374
033300000002	2013	373
033300000002	2012	385
033300000002	2011	368
033300000002	2010	368
087000000006	2014	180
087000000006	2012	132
087000000006	2011	139
003900000001	2011	225
001700000990	2014	39
001700000990	2013	37
001700000990	2012	50
001700000990	2010	39
033700000000	2014	242
033700000000	2013	280
033700000000	2011	232
033700000000	2010	217
000300000006	2012	146
000300000006	2011	119
006700000002	2015	463
006700000002	2014	456
006700000002	2013	470
006700000002	2012	456
006700000002	2010	450
003000000005	2015	4
003000000005	2014	2
003000000005	2013	3
082000000005	2014	1
082000000005	2012	1
019200000005	2015	380
004300000009	2013	331
004300000009	2010	334
003900000001	2012	264
003900000001	2010	250
003900000001	2015	207
003900000001	2014	244
003900000001	2013	250
006700000002	2011	459
032900000005	2015	210
032900000005	2014	170
032900000005	2012	169
032900000005	2011	199
032900000005	2010	163
033700000000	2012	232
024000000008	2015	320
024000000008	2013	343
020200000009	2014	380
020200000009	2011	389
020200000009	2010	396
IZF500000008	2014	1
IZF500000008	2012	1
024000000008	2014	334
008400000003	2010	118
001501001016	2015	3
001501001016	2014	4
001501001016	2013	3
001501001016	2011	2
001501001016	2010	2
061400000000	2015	71
061400000000	2014	82
061400000000	2013	78
061400000000	2012	86
061400000000	2011	80
061400000000	2010	115
032600000000	2015	301
032600000000	2014	304
032600000000	2013	255
000600000001	2011	222
081100000009	2015	73
081100000009	2014	85
081100000009	2012	80
081100000009	2011	93
019200000005	2012	366
033500000006	2015	294
033200000000	2015	181
033200000000	2014	142
033200000000	2013	149
033200000000	2012	148
033200000000	2011	139
192900000005	2010	32
586600000000	2012	26
001200000991	2011	64
009200000008	2015	120
009200000008	2014	219
009200000008	2013	189
009200000008	2012	137
009200000008	2011	168
009200000008	2010	145
807700000001	2014	30
807700000001	2013	37
449300000004	2010	10
000200000993	2010	233
029100000000	2011	249
JCPL00000005	2015	3
JCPL00000005	2014	3
JCPL00000005	2013	2
008000000006	2014	171
008000000006	2013	172
008000000006	2012	170
008000000006	2010	163
008900000002	2010	240
IYD400000002	2015	2
020200000009	2012	382
004400000000	2015	187
007400000005	2015	6
007400000005	2014	10
007400000005	2013	8
007400000005	2011	11
007400000005	2010	7
008900000002	2014	271
080400000006	2010	163
117700000004	2012	37
038400000005	2011	144
J1GS00000009	2014	11
004100000005	2014	85
004100000005	2013	135
006200000003	2010	288
000500000999	2015	134
033700000000	2015	256
033400000004	2013	116
033400000004	2012	152
033400000004	2011	121
033400000004	2010	112
033000000007	2013	351
033000000007	2011	366
033000000007	2010	350
IX9M00000000	2015	6
IX9M00000000	2014	5
IX9M00000000	2012	6
002500000006	2015	25
002500000006	2014	34
002500000006	2013	28
002500000006	2012	103
002500000006	2011	39
002500000006	2010	30
502700000001	2013	18
006200000003	2014	290
006200000003	2012	286
020200000009	2015	381
906100000009	2011	1
000800000994	2010	135
032700000001	2015	271
032700000001	2014	231
032700000001	2013	220
032700000001	2011	184
985600162083	2010	4
033100000009	2015	119
033100000009	2014	154
033100000009	2012	140
033100000009	2010	125
008900000002	2013	259
171500000005	2015	22
171500000005	2014	26
171500000005	2012	31
171500000005	2010	31
885300000006	2014	19
885300000006	2012	17
885300000006	2011	19
885300000006	2010	12
IX2400000007	2015	28
IX2400000007	2012	21
001600000999	2013	33
001600000999	2012	43
001600000999	2011	48
001600000999	2010	58
198100000000	2012	167
004300000009	2015	349
004300000009	2011	336
011100000008	2015	151
011100000008	2013	159
020200000009	2013	405
000500000999	2013	133
501100000002	2013	30
930820000000	2015	5
930820000000	2014	3
930820000000	2012	11
930820000000	2011	16
930820000000	2010	4
007200000001	2013	57
007200000001	2012	65
008200000000	2011	130
780900000000	2013	30
029100000000	2012	210
029100000000	2010	221
342800000000	2015	73
342800000000	2014	61
342800000000	2013	91
342800000000	2012	69
342800000000	2011	61
342800000000	2010	62
567200000007	2014	40
567200000007	2013	46
567200000007	2012	43
567200000007	2010	40
000500000999	2014	113
000500000999	2012	185
000500000999	2011	140
000500000999	2010	124
I3CJ00000006	2010	58
460900000006	2013	79
002100000009	2011	330
870400000000	2013	49
171500000005	2013	28
171500000005	2011	29
032700000001	2012	201
032700000001	2010	167
306200000002	2011	79
306200000002	2010	74
I22A00000002	2015	50
I22A00000002	2014	49
I22A00000002	2011	45
I22A00000002	2010	57
019200000005	2014	396
019200000005	2013	385
019200000005	2010	351
027200000006	2013	17
027200000006	2012	21
027200000006	2011	21
027200000006	2010	13
005900000008	2012	85
004400000000	2014	214
029100000000	2014	265
029100000000	2013	261
892700000006	2015	32
892700000006	2013	36
892700000006	2012	39
010300000003	2014	278
832500000009	2010	83
884100000004	2010	1
