ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	11	6	12	9	15	2	2	5	0	13	7	18	2	102
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	3	2	5	2	2	0	2	2	1	1	0	6	0	26
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	13	5	14	20	17	6	7	4	0	8	9	9	4	116
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	4	2	3	2	3	0	0	0	0	13	0	3	0	30
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	26	7	20	39	24	7	33	7	1	14	17	11	10	216
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	41	9	37	39	25	17	18	17	1	22	19	27	20	292
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	37	10	40	32	21	12	24	13	1	18	20	25	27	280
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	40	11	52	47	29	16	33	21	5	23	26	44	27	374
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	39	11	60	40	29	17	34	24	3	23	24	55	31	390
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	24	5	17	8	16	5	7	5	1	12	2	10	4	116
003900000001	FUNDACAO OSWALDO CRUZ	33018	3306	33	23	10	49	9	21	9	0	16	1	22	2	38	7	207
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23016	2303	23	3	0	10	0	1	1	0	3	0	2	0	4	0	24
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24018	2404	24	30	9	37	25	23	16	20	20	1	17	13	30	15	256
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31057	3111	31	35	9	15	20	18	7	12	6	1	19	9	4	6	161
006700000002	UNIVERSIDADE DE SAO PAULO	35061	3515	35	41	11	67	57	30	20	46	26	9	23	27	60	46	463
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43026	4305	43	37	10	55	44	26	18	27	25	1	23	22	52	40	380
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42016	4205	42	35	11	46	49	28	12	28	19	4	21	21	47	28	349
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41009	4103	41	34	9	33	19	23	13	4	9	1	19	16	23	7	210
024000000008	UNIVERSIDADE DE BRASILIA	53001	5301	53	33	10	46	30	26	16	20	21	4	22	21	43	28	320
020200000009	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	33018	3306	33	38	11	57	50	27	16	29	21	5	17	26	49	35	381
008400000003	INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA	13007	1303	13	32	5	18	8	14	14	1	7	0	13	7	3	0	122
061400000000	UNIVERSIDADE DE PERNAMBUCO	26017	2605	26	8	2	16	5	5	0	4	5	0	5	4	14	3	71
032600000000	UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	33018	3306	33	31	8	52	33	19	15	19	19	3	18	21	46	17	301
000600000001	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43026	4305	43	26	6	51	11	19	12	12	22	3	14	10	37	18	241
081100000009	UNIVERSIDADE DE CAXIAS DO SUL	43016	4302	43	6	4	10	14	15	1	0	2	0	3	3	7	8	73
033500000006	UNIVERSIDADE FEDERAL DE SAO CARLOS	42002	4201	42	35	10	42	32	27	10	15	19	2	18	20	38	26	294
033200000000	UNIVERSIDADE FEDERAL DE MATO GROSSO	51007	5101	51	33	7	28	11	21	12	10	9	0	18	12	16	4	181
192900000005	UNIVERSIDADE DO ESTADO DO PARA	27005	2702	27	6	2	10	6	0	0	0	3	0	4	1	2	1	35
001200000991	HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN	50004	5002	50	4	3	37	1	3	1	1	17	0	11	0	22	4	104
009200000008	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA	53001	5301	53	31	9	4	19	19	7	3	4	0	12	3	2	7	120
807700000001	UNIVERSIDADE CRUZEIRO DO SUL	35061	3515	35	0	1	3	0	2	0	1	4	1	3	5	12	2	34
000200000993	INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA	26017	2605	26	28	7	45	17	14	3	4	18	0	16	7	24	11	194
029100000000	UNIVERSIDADE FEDERAL DA BAHIA	29021	2905	29	27	9	37	21	21	11	12	14	1	18	14	21	15	221
008000000006	UNIVERSIDADE ESTADUAL DE LONDRINA	41011	4103	41	24	5	25	9	19	1	6	9	1	19	13	20	8	159
008900000002	UNIVERSIDADE FEDERAL DO CEARA	23016	2303	23	32	9	37	33	23	7	21	11	2	18	16	24	13	246
004400000000	UNIVERSIDADE FEDERAL DO PARA	27005	2702	27	30	8	18	24	19	11	11	8	2	14	13	18	11	187
