ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	81	35	95	56	105	21	11	34	0	57	49	85	17	646
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	14	8	23	10	32	1	2	10	1	14	11	50	8	184
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	87	34	82	119	118	37	30	29	4	58	50	54	37	739
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	27	13	66	2	37	0	0	9	0	81	1	15	1	252
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	132	36	63	195	145	31	144	21	4	57	92	58	54	1032
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	230	56	244	213	157	83	101	96	17	127	103	164	116	1707
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	215	58	266	177	155	84	181	108	10	113	120	189	138	1814
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	225	64	351	261	179	101	211	133	28	134	161	284	176	2308
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	224	63	353	236	168	99	180	139	28	136	130	315	187	2258
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	142	40	115	61	103	27	41	35	2	82	35	67	40	790
