ID_do_estado	nome_do_estado	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita	Produção de Lavouras Temporárias	Horticultura e Floricultura	Produção de Lavouras Permanentes	Produção de Sementes e Mudas Certificadas	Pecuária	Atividades de Apoio à Agricultura e à Pecuária	Caça e Serviços Relacionados	Produção Florestal - Florestas Plantadas	Produção Florestal - Florestas Nativas	Atividades de Apoio à Produção Florestal	Pesca	AqüIcultura	Extração de Carvão Mineral	Extração de Petróleo e Gás Natural	Extração de Minério de Ferro	Extração de Minerais Metálicos Não-Ferrosos	Extração de Pedra, Areia e Argila	Extração de Outros Minerais Não-Metálicos	Atividades de Apoio à Extração de Petróleo e Gás Natural	Atividades de Apoio à Extração de Minerais, Exceto Petróleo e Gás Natural	Abate e Fabricação de Produtos de Carne	Preservação do Pescado e Fabricação de Produtos do Pescado	Fabricação de Conservas de Frutas, Legumes e Outros Vegetais	Fabricação de óleos e Gorduras Vegetais e Animais	Laticínios	Moagem, Fabricação de Produtos Amiláceos e de Alimentos para Animais	Fabricação e Refino de Açúcar	Torrefação e Moagem de Café	Fabricação de Outros Produtos Alimentícios	Fabricação de Bebidas Alcoólicas	Fabricação de Bebidas Não-Alcoólicas	Processamento Industrial do Fumo	Fabricação de Produtos do Fumo	Preparação e Fiação de Fibras Têxteis	Tecelagem, Exceto Malha	Fabricação de Tecidos de Malha	Acabamentos em Fios, Tecidos e Artefatos Têxteis	Fabricação de Artefatos Têxteis, Exceto Vestuário	Confecção de Artigos do Vestuário e Acessórios	Fabricação de Artigos de Malharia e Tricotagem	Curtimento e Outras Preparações de Couro	Fabricação de Artigos para Viagem e de Artefatos Diversos de Couro	Fabricação de Calçados	Fabricação de Partes para Calçados, de Qualquer Material	Desdobramento de Madeira	Fabricação de Produtos de Madeira, Cortiça e Material Trançado, Exceto Móveis	Fabricação de Celulose e Outras Pastas para a Fabricação de Papel	Fabricação de Papel, Cartolina e Papel-Cartão	Fabricação de Embalagens de Papel, Cartolina, Papel-Cartão e Papelão Ondulado	Fabricação de Produtos Diversos de Papel, Cartolina, Papel-Cartão e Papelão Ondulado	Atividade de Impressão	Serviços de Pré-Impressão e Acabamentos Gráficos	Reprodução de Materiais Gravados em Qualquer Suporte	Coquerias	Fabricação de Produtos Derivados do Petróleo	Fabricação de Biocombustíveis	Fabricação de Produtos Químicos Inorgânicos	Fabricação de Produtos Químicos Orgânicos	Fabricação de Resinas e Elastômeros	Fabricação de Fibras Artificiais e Sintéticas	Fabricação de Defensivos Agrícolas e Desinfestantes Domissanitários	Fabricação de Sabões, Detergentes, Produtos de Limpeza, Cosméticos, Produtos de Perfumaria e de Higiene Pessoal	Fabricação de Tintas, Vernizes, Esmaltes, Lacas e Produtos Afins	Fabricação de Produtos e Preparados Químicos Diversos	Fabricação de Produtos Farmoquímicos	Fabricação de Produtos Farmacêuticos	Fabricação de Produtos de Borracha	Fabricação de Produtos de Material Plástico	Fabricação de Vidro e de Produtos do Vidro	Fabricação de Cimento	Fabricação de Artefatos de Concreto, Cimento, Fibrocimento, Gesso e Materiais Semelhantes	Fabricação de Produtos Cerâmicos	Aparelhamento de Pedras e Fabricação de Outros Produtos de Minerais Não-Metálicos	Produção de Ferro-Gusa e de Ferroligas	Siderurgia	Produção de Tubos de Aço, Exceto Tubos sem Costura	Metalurgia dos Metais Não-Ferrosos	Fundição	Fabricação de Estruturas Metálicas e Obras de Caldeiraria Pesada	Fabricação de Tanques, Reservatórios Metálicos e Caldeiras	Forjaria, Estamparia, Metalurgia do Pó e Serviços de Tratamento de Metais	Fabricação de Artigos de Cutelaria, de Serralheria e Ferramentas	Fabricação de Equipamento Bélico Pesado, Armas de Fogo e Munições	Fabricação de Produtos de Metal não Especificados Anteriormente	Fabricação de Componentes Eletrônicos	Fabricação de Equipamentos de Informática e Periféricos	Fabricação de Equipamentos de Comunicação	Fabricação de Aparelhos de Recepção, Reprodução, Gravação e Amplificação de áudio e Vídeo	Fabricação de Aparelhos e Instrumentos de Medida, Teste e Controle	Fabricação de Aparelhos Eletromédicos e Eletroterapêuticos e Equipamentos de Irradiação	Fabricação de Equipamentos e Instrumentos ópticos, Fotográficos e Cinematográficos	Fabricação de Mídias Virgens, Magnéticas e ópticas	Fabricação de Geradores, Transformadores e Motores Elétricos	Fabricação de Pilhas, Baterias e Acumuladores Elétricos	Fabricação de Equipamentos para Distribuição e Controle de Energia Elétrica	Fabricação de Lâmpadas e Outros Equipamentos de Iluminação	Fabricação de Eletrodomésticos	Fabricação de Equipamentos e Aparelhos Elétricos não Especificados Anteriormente	Fabricação de Motores, Bombas, Compressores e Equipamentos de Transmissão	Fabricação de Máquinas e Equipamentos de Uso Geral	Fabricação de Tratores e de Máquinas e Equipamentos para a Agricultura e Pecuária	Fabricação de Máquinas-Ferramenta	Fabricação de Máquinas e Equipamentos de Uso na Extração Mineral e na Construção	Fabricação de Máquinas e Equipamentos de Uso Industrial Específico	Fabricação de Automóveis, Camionetas e Utilitários	Fabricação de Caminhões e ônibus	Fabricação de Cabines, Carrocerias e Reboques para Veículos Automotores	Fabricação de Peças e Acessórios para Veículos Automotores	Recondicionamento e Recuperação de Motores para Veículos Automotores	Construção de Embarcações	Fabricação de Veículos Ferroviários	Fabricação de Aeronaves	Fabricação de Veículos Militares de Combate	Fabricação de Equipamentos de Transporte não Especificados Anteriormente	Fabricação de Móveis	Fabricação de Artigos de Joalheria, Bijuteria e Semelhantes	Fabricação de Instrumentos Musicais	Fabricação de Artefatos para Pesca e Esporte	Fabricação de Brinquedos e Jogos Recreativos	Fabricação de Instrumentos e Materiais para Uso Médico e Odontológico e de Artigos ópticos	Fabricação de Produtos Diversos	Manutenção e Reparação de Máquinas e Equipamentos	Instalação de Máquinas e Equipamentos	Geração, Transmissão e Distribuição de Energia Elétrica	Produção e Distribuição de Combustíveis Gasosos por Redes Urbanas	Produção e Distribuição de Vapor, água Quente e Ar Condicionado	Captação, Tratamento e Distribuição de água	Esgoto e Atividades Relacionadas	Coleta de Resíduos	Tratamento e Disposição de Resíduos	Recuperação de Materiais	Descontaminação e Outros Serviços de Gestão de Resíduos	Incorporação de Empreendimentos Imobiliários	Construção de Edifícios	Construção de Rodovias, Ferrovias, Obras Urbanas e Obras de Arte Especiais	Obras de Infra-Estrutura para Energia Elétrica, Telecomunicações, água, Esgoto e Transporte por Dutos	Construção de Outras Obras de Infra-Estrutura	Demolição e Preparação do Terreno	Instalações Elétricas, Hidráulicas e Outras Instalações em Construções	Obras de Acabamento	Outros Serviços Especializados para Construção	Comércio de Veículos Automotores	Manutenção e Reparação de Veículos Automotores	Comércio de Peças e Acessórios para Veículos Automotores	Comércio, Manutenção e Reparação de Motocicletas, Peças e Acessórios	Representantes Comerciais e Agentes do Comércio, Exceto de Veículos Automotores e Motocicletas	Comércio Atacadista de Matérias-Primas Agrícolas e Animais Vivos	Comércio Atacadista Especializado em Produtos Alimentícios, Bebidas e Fumo	Comércio Atacadista de Produtos de Consumo Não-Alimentar	Comércio Atacadista de Equipamentos e Produtos de Tecnologias de Informação e Comunicação	Comércio Atacadista de Máquinas, Aparelhos e Equipamentos, Exceto de Tecnologias de Informação e Comunicação	Comércio Atacadista de Madeira, Ferragens, Ferramentas, Material Elétrico e Material de Construção	Comércio Atacadista Especializado em Outros Produtos	Comércio Atacadista Não-Especializado	Comércio Varejista Não-Especializado	Comércio Varejista de Produtos Alimentícios, Bebidas e Fumo	Comércio Varejista de Combustíveis para Veículos Automotores	Comércio Varejista de Material de Construção	Comércio Varejista de Equipamentos de Informática e Comunicação	Comércio Varejista de Artigos Culturais, Recreativos e Esportivos	Comércio Varejista de Produtos Farmacêuticos, Perfumaria e Cosméticos e Artigos Médicos, ópticos e Ortopédicos	Comércio Varejista de Produtos Novos não Especificados Anteriormente e de Produtos Usados	Comércio Ambulante e Outros Tipos de Comércio Varejista	Transporte Ferroviário e Metroferroviário	Transporte Rodoviário de Passageiros	Transporte Rodoviário de Carga	Transporte Dutoviário	Trens Turísticos, Teleféricos e Similares	Transporte Marítimo de Cabotagem e Longo Curso	Transporte por Navegação Interior	Navegação de Apoio	Outros Transportes Aquaviários	Transporte Aéreo de Passageiros	Transporte Aéreo de Carga	Transporte Espacial	Armazenamento, Carga e Descarga	Atividades Auxiliares dos Transportes Terrestres	Atividades Auxiliares dos Transportes Aquaviários	Atividades Auxiliares dos Transportes Aéreos	Atividades Relacionadas à Organização do Transporte de Carga	Atividades de Correio	Atividades de Malote e de Entrega	Hotéis e Similares	Outros Tipos de Alojamento não Especificados Anteriormente	Restaurantes e Outros Serviços de Alimentação e Bebidas	Serviços de Catering, Bufê e Outros Serviços de Comida Preparada	Edição de Livros, Jornais, Revistas e Outras Atividades de Edição	Edição Integrada à Impressão de Livros, Jornais, Revistas e Outras Publicações	Atividades Cinematográficas, Produção de Vídeos e de Programas de Televisão	Atividades de Gravação de Som e de Edição de Música	Atividades de Rádio	Atividades de Televisão	Telecomunicações por Fio	Telecomunicações sem Fio	Telecomunicações por Satélite	Operadoras de Televisão por Assinatura	Outras Atividades de Telecomunicações	Atividades dos Serviços de Tecnologia da Informação	Tratamento de Dados, Hospedagem na Internet e Outras Atividades Relacionadas	Outras Atividades de Prestação de Serviços de Informação	Banco Central	Intermediação Monetária - Depósitos à Vista	Intermediação Não-Monetária - Outros Instrumentos de Captação	Arrendamento Mercantil	Sociedades de Capitalização	Atividades de Sociedades de Participação	Fundos de Investimento	Atividades de Serviços Financeiros não Especificadas Anteriormente	Seguros de Vida e Não-Vida	Seguros-Saúde	Resseguros	Previdência Complementar	Planos de Saúde	Atividades Auxiliares dos Serviços Financeiros	Atividades Auxiliares dos Seguros, da Previdência Complementar e dos Planos de Saúde	Atividades de Administração de Fundos por Contrato ou Comissão	Atividades Imobiliárias de Imóveis Próprios	Atividades Imobiliárias por Contrato ou Comissão	Atividades Jurídicas	Atividades de Contabilidade, Consultoria e Auditoria Contábil e Tributária	Sedes de Empresas e Unidades Administrativas Locais	Atividades de Consultoria em Gestão Empresarial	Serviços de Arquitetura e Engenharia e Atividades Técnicas Relacionadas	Testes e Análises Técnicas	Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais	Pesquisa e Desenvolvimento Experimental em Ciências Sociais e Humanas	Publicidade	Pesquisas de Mercado e de Opinião Pública	Design e Decoração de Interiores	Atividades Fotográficas e Similares	Atividades Profissionais, Científicas e Técnicas não Especificadas Anteriormente	Atividades Veterinárias	Locação de Meios de Transporte sem Condutor	Aluguel de Objetos Pessoais e Domésticos	Aluguel de Máquinas e Equipamentos sem Operador	Gestão de Ativos Intangíveis Não-Financeiros	Seleção e Agenciamento de Mão-De-Obra	Locação de Mão-De-Obra Temporária	Fornecimento e Gestão de Recursos Humanos para Terceiros	Agências de Viagens e Operadores Turísticos	Serviços de Reservas e Outros Serviços de Turismo não Especificados Anteriormente	Atividades de Vigilância, Segurança Privada e Transporte de Valores	Atividades de Monitoramento de Sistemas de Segurança	Atividades de Investigação Particular	Serviços Combinados para Apoio a Edifícios	Atividades de Limpeza	Atividades Paisagísticas	Serviços de Escritório e Apoio Administrativo	Atividades de Teleatendimento	Atividades de Organização de Eventos, Exceto Culturais e Esportivos	Outras Atividades de Serviços Prestados Principalmente às Empresas	Administração do Estado e da Política Econômica e Social	Serviços Coletivos Prestados Pela Administração Pública	Seguridade Social Obrigatória	Educação Infantil e Ensino Fundamental	Ensino Médio	Educação Superior	Educação Profissional de Nível Técnico e Tecnológico	Atividades de Apoio à Educação	Outras Atividades de Ensino	Atividades de Atendimento Hospitalar	Serviços Móveis de Atendimento a Urgências e de Remoção de Pacientes	Atividades de Atenção Ambulatorial Executadas por Médicos e Odontólogos	Atividades de Serviços de Complementação Diagnóstica e Terapêutica	Atividades de Profissionais da área de Saúde, Exceto Médicos e Odontólogos	Atividades de Apoio à Gestão de Saúde	Atividades de Atenção à Saúde Humana não Especificadas Anteriormente	Atividades de Assistência a Idosos, Deficientes Físicos, Imunodeprimidos e Convalescentes, e de Infra-Est e Apoio a Pac Prest em Res Col e Part	Atividades de Assistência Psicossocial e à Saúde a Portadores de Distúrbios Psíquicos, Deficiência Mental e Dependência Química	Atividades de Assistência Social Prestadas em Residências Coletivas e Particulares	Serviços de Assistência Social sem Alojamento	Atividades Artísticas, Criativas e de Espetáculos	Atividades Ligadas ao Patrimônio Cultural e Ambiental	Atividades de Exploração de Jogos de Azar e Apostas	Atividades Esportivas	Atividades de Recreação e Lazer	Atividades de Organizações Associativas Patronais, Empresariais e Profissionais	Atividades de Organizações Sindicais	Atividades de Associações de Defesa de Direitos Sociais	Atividades de Organizações Associativas não Especificadas Anteriormente	Reparação e Manutenção de Equipamentos de Informática e Comunicação	Reparação e Manutenção de Objetos e Equipamentos Pessoais e Domésticos	Outras Atividades de Serviços Pessoais	Serviços Domésticos	Organismos Internacionais e Outras Instituições Extraterritoriais	{ñ class}	Total_de_estabelecimentos
11	Rondônia	3867529.0	5449763.0	12521675.0	8537219.0	30376184.0	3654796.0	34030982.0	1748531.0	824587.21	315	55	56	14	4015	219	0	25	53	18	13	50	1	0	3	35	76	4	0	7	74	4	20	3	112	66	0	29	149	0	19	0	1	0	1	0	5	26	160	8	6	7	4	0	368	149	2	1	0	8	101	17	2	0	0	7	5	1	0	0	0	23	3	9	1	3	26	27	4	1	95	82	30	0	4	0	5	12	82	8	61	59	0	18	0	4	0	0	0	0	0	0	0	2	1	1	0	1	4	12	0	3	2	3	0	0	34	5	23	9	0	0	0	3	170	6	0	0	5	28	60	120	20	43	1	0	9	14	23	3	22	1	52	934	98	52	58	192	170	71	159	184	613	788	515	143	118	323	275	17	89	207	137	78	1361	957	454	1315	1531	433	1364	2760	0	0	199	775	1	0	0	20	0	8	13	1	0	36	45	6	15	10	80	30	313	20	1215	114	20	40	34	4	55	35	32	13	2	2	33	51	27	33	0	225	2	0	0	9	1	18	13	1	0	5	12	38	54	0	55	83	372	386	0	25	96	8	3	3	76	2	4	41	83	14	64	41	99	0	4	6	2	140	5	28	26	0	231	75	18	217	4	34	284	196	10	7	114	9	46	17	6	344	110	5	823	235	139	5	59	5	3	7	21	23	6	2	133	34	49	127	256	370	74	131	295	35	1	0	32833
12	Acre	1324891.0	1401516.0	5265060.0	4357519.0	12348984.0	1109711.0	13458696.0	790101.0	276941.99000000005	31	10	9	2	837	46	0	8	4	3	2	17	0	0	0	1	15	0	0	0	38	0	15	2	24	17	1	11	48	2	12	0	1	0	0	0	2	2	28	8	1	0	1	0	39	18	0	0	1	0	22	7	0	0	0	2	1	0	0	0	0	8	2	0	0	0	6	6	1	0	20	42	7	0	1	1	0	1	18	3	5	6	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	3	2	9	0	0	0	0	1	44	1	0	0	0	7	6	15	1	4	0	0	11	0	3	1	4	1	6	501	20	16	15	55	40	10	39	34	103	172	65	40	12	53	46	1	21	18	31	28	517	298	127	320	411	151	313	783	0	1	77	106	0	0	0	8	0	1	13	0	1	8	20	0	8	5	31	4	95	3	372	37	7	11	8	1	4	9	13	5	0	1	4	11	5	4	0	72	2	0	0	1	0	4	2	0	0	2	5	12	6	1	13	17	85	96	0	10	42	1	1	0	9	0	2	10	15	2	43	10	32	0	0	9	0	24	4	15	8	0	25	67	6	30	4	11	69	112	9	2	35	7	15	14	1	84	14	1	217	47	29	1	16	1	2	1	12	4	2	0	44	11	12	45	64	111	9	39	87	10	1	0	8483
13	Amazonas	5181037.0	24785543.0	27814443.0	14116841.0	71897862.0	14775425.0	86668642.0	3873743.0	583813.7400000001	34	37	23	5	175	45	0	11	8	6	8	19	0	4	0	2	19	1	8	0	14	8	28	0	33	23	0	8	167	6	25	0	1	12	0	1	5	3	74	4	4	1	2	0	68	35	2	1	17	26	50	45	7	0	2	1	7	2	8	0	0	16	4	25	1	3	10	130	7	1	36	44	20	0	4	3	10	9	57	4	38	20	0	46	40	20	15	27	12	1	6	0	7	1	17	0	6	4	5	26	0	4	0	4	2	0	7	19	9	49	1	0	0	28	68	8	0	4	3	20	18	127	38	105	3	1	26	4	22	6	26	4	95	501	45	33	67	47	266	141	277	92	148	381	120	150	20	258	253	19	75	76	85	75	1561	782	470	1034	1302	444	1042	2388	0	1	178	385	2	0	12	147	4	11	32	5	0	51	70	30	30	114	113	68	222	39	970	217	16	33	24	2	22	21	26	14	4	2	23	108	15	21	0	238	6	0	0	24	0	21	21	2	0	5	13	31	51	0	48	70	162	381	0	77	131	12	13	1	75	3	7	13	39	13	61	22	70	3	27	57	11	112	4	42	26	0	435	153	25	170	14	47	287	237	40	6	257	20	40	16	8	225	62	2	634	115	117	3	59	3	3	6	29	23	1	1	112	30	51	80	156	330	68	79	193	26	3	0	23713
14	Roraima	386510.0	1010035.0	3478906.0	4117582.0	8993029.0	751095.0	9744122.0	496936.0	203559.33	74	4	9	3	130	19	0	3	2	1	2	16	0	0	0	0	10	0	0	0	4	0	3	0	12	12	0	0	32	2	2	0	1	0	0	0	0	4	20	2	0	0	0	0	31	1	0	0	1	1	7	3	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	1	3	0	15	17	6	0	1	0	0	0	6	1	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	13	0	0	0	0	2	9	14	2	7	0	0	1	4	5	0	1	0	12	204	6	10	7	16	42	6	23	33	67	97	50	18	8	65	33	2	12	24	28	25	341	199	90	200	298	150	239	535	0	0	51	49	0	0	0	1	0	0	5	0	0	4	10	0	3	2	27	0	54	12	290	24	1	4	10	2	7	4	6	4	1	0	5	14	1	1	0	48	2	0	0	1	0	3	2	0	0	2	3	10	6	0	13	13	35	66	0	7	15	1	1	1	16	1	1	7	11	5	24	14	13	0	0	5	0	27	0	9	3	0	7	28	7	27	2	9	68	62	5	3	34	9	11	6	1	81	10	0	158	33	23	0	9	0	0	0	5	4	1	0	26	18	10	23	36	39	24	33	59	16	2	0	5225
15	Pará	13436407.0	33311858.0	42994151.0	23259223.0	113001635.0	11583309.0	124584945.0	8104880.0	1641611.0099999998	438	58	403	18	5647	405	1	121	113	38	60	22	5	3	9	50	89	15	0	8	95	33	138	21	142	72	0	7	393	10	40	0	3	4	2	0	15	32	219	15	10	14	8	0	650	175	1	1	8	11	196	55	1	0	5	4	14	4	0	0	1	39	9	15	1	4	46	51	16	6	185	238	48	13	5	1	9	16	141	1	59	42	1	45	0	1	0	0	3	0	0	0	2	1	9	1	3	1	7	31	3	5	3	6	0	0	35	6	36	24	0	0	0	1	212	22	0	4	11	22	69	261	57	114	1	1	76	25	40	5	22	1	141	1672	213	105	216	263	316	128	287	293	604	1580	525	389	146	793	596	34	203	253	289	141	3206	2051	839	3171	3334	978	3078	5887	0	1	411	889	1	0	11	176	6	20	43	1	0	72	121	52	42	38	213	73	703	34	1983	275	27	49	37	14	60	29	67	38	13	2	93	182	27	21	1	548	7	0	1	21	1	59	26	2	0	12	25	61	98	0	113	169	455	769	0	79	309	16	10	5	141	4	15	59	152	28	217	84	251	1	15	50	10	187	12	91	70	1	1215	188	33	253	8	106	539	444	38	17	600	85	67	98	14	643	239	7	1567	446	301	19	93	14	4	8	38	40	5	4	327	75	99	270	390	528	145	172	692	94	4	0	63673
16	Amapá	269322.0	1293216.0	5333651.0	5476246.0	12372438.0	1027848.0	13400286.0	750912.0	236234.25999999998	27	7	2	0	79	11	0	3	3	0	2	2	1	0	7	8	14	0	0	2	6	6	12	0	7	1	1	1	72	2	4	0	0	0	0	0	0	3	22	3	0	1	0	0	14	7	0	0	0	1	27	3	0	0	0	0	0	0	0	0	0	3	0	0	0	1	4	0	1	0	13	16	4	1	0	0	0	0	11	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	8	0	0	0	0	17	4	0	0	0	9	6	16	1	9	0	0	1	3	12	0	3	0	9	244	20	11	9	23	40	21	33	35	72	110	41	29	4	91	58	3	10	20	25	29	636	283	105	395	307	123	255	843	0	1	40	67	1	0	4	22	4	6	4	0	0	12	7	10	5	3	29	3	112	4	310	37	1	4	12	0	8	4	5	9	3	0	8	13	4	1	0	57	2	0	0	1	0	1	1	1	0	2	5	18	8	0	12	18	47	85	0	8	15	3	1	0	20	1	2	4	11	1	25	12	21	0	13	11	4	48	1	14	4	0	20	33	7	17	2	6	80	60	6	3	65	6	21	3	4	70	20	0	153	43	26	0	11	1	0	3	8	6	1	0	29	18	15	32	50	393	19	22	82	8	0	0	6981
17	Tocantins	3308539.0	3760202.0	9295411.0	7384562.0	23748710.0	2440613.0	26189323.0	1496880.0	2032375.1500000001	820	32	57	18	5051	209	0	59	48	16	2	23	5	1	2	7	66	8	0	0	49	5	4	4	51	57	1	4	99	0	8	0	1	1	1	1	2	7	89	3	6	5	7	0	10	11	0	1	1	0	74	17	0	0	0	3	4	4	0	0	0	4	5	6	3	1	13	15	3	1	109	115	35	0	1	0	0	3	59	4	20	26	0	18	0	1	0	0	0	0	0	0	2	0	1	0	0	1	4	4	4	1	1	0	0	0	10	3	23	2	0	0	0	0	74	6	0	1	4	26	30	68	11	99	0	1	7	9	20	6	13	0	99	915	109	72	26	99	103	77	87	112	315	654	206	86	50	200	186	8	60	109	110	31	1276	562	368	927	1000	311	865	1643	0	1	129	386	0	0	0	2	0	18	5	0	0	46	29	1	7	2	154	25	251	15	868	82	6	20	14	1	17	15	26	12	2	2	14	40	10	6	0	158	2	0	0	12	0	10	10	1	0	3	7	20	44	1	71	77	295	417	0	49	124	3	4	8	53	0	4	19	50	8	91	31	118	0	0	1	2	60	4	23	10	0	108	55	9	93	5	42	249	402	14	22	120	14	27	26	2	252	65	3	687	152	96	14	38	7	3	4	25	19	2	4	89	20	48	105	139	268	65	73	198	39	1	0	26093
21	Maranhão	7384204.0	12285260.0	32058619.0	16838253.0	68566335.0	8275699.0	76842026.0	6850884.0	1695148.7999999996	603	15	27	23	1697	158	0	80	87	49	7	39	0	3	1	5	67	5	2	5	27	1	20	25	65	66	2	4	227	13	20	1	1	2	0	1	8	25	172	26	7	5	8	0	48	32	1	2	8	10	155	32	1	0	6	6	16	1	1	0	1	28	8	7	1	1	26	29	6	7	132	171	82	10	4	4	6	6	118	0	44	38	0	26	2	1	1	3	2	0	0	0	0	1	2	2	1	1	1	14	0	0	0	5	0	1	17	2	18	3	1	0	0	3	148	2	0	0	6	34	37	134	35	73	2	2	43	19	36	5	23	0	113	1457	150	74	163	128	219	129	158	201	458	1154	440	222	78	417	351	23	77	117	153	129	2793	1543	756	2596	3334	762	2886	4397	0	7	266	614	1	0	1	2	9	22	9	1	0	47	56	33	11	13	231	33	462	39	1426	202	13	45	32	5	38	37	42	22	1	3	50	80	25	38	0	391	5	1	0	13	0	28	19	3	0	8	18	56	55	2	85	152	403	478	0	51	234	12	5	2	98	3	12	44	74	12	98	62	147	1	18	28	14	177	7	68	27	2	536	115	18	189	11	85	583	443	14	6	377	44	65	53	9	417	186	4	922	311	183	16	66	19	6	5	28	35	2	1	199	35	67	258	253	375	97	119	468	46	0	0	44326
22	Piauí	2524581.0	5402311.0	15463021.0	10593812.0	33983750.0	3739756.0	37723502.0	3194718.0	1685849.5999999999	447	9	63	6	281	61	0	27	86	7	3	33	0	1	0	1	65	13	0	9	26	1	35	15	66	71	2	4	374	5	15	0	2	5	2	0	5	9	377	12	4	17	22	2	6	51	0	1	11	7	108	38	2	0	1	2	2	3	0	0	1	23	6	7	0	7	22	32	21	1	118	108	78	1	8	0	5	7	131	1	25	36	0	36	0	0	1	2	0	0	3	0	0	0	5	0	3	0	2	6	3	0	1	2	0	0	13	2	5	0	0	0	0	1	103	10	0	1	1	37	56	62	32	21	1	0	122	11	37	4	15	0	70	1542	159	70	149	39	103	119	127	167	376	758	423	131	45	265	254	23	43	64	85	183	2605	894	643	1564	2058	396	1897	2812	0	5	228	227	0	0	0	1	0	2	8	1	0	21	80	2	13	9	215	24	254	48	1334	125	15	41	20	4	29	11	23	6	0	4	47	76	36	11	0	204	7	0	0	5	0	27	12	1	0	4	15	24	37	2	57	92	229	357	0	41	118	6	3	3	73	2	2	32	39	10	83	66	45	2	15	9	3	99	4	22	14	0	451	88	6	95	13	56	396	593	11	4	307	49	52	19	7	301	119	1	788	279	193	16	59	18	6	11	31	14	2	2	161	27	49	134	140	257	81	158	410	43	0	0	31846
23	Ceará	5763512.0	21219780.0	58697763.0	25097729.0	110778787.0	15275770.0	126054461.0	8842791.0	1569574.4399999997	205	120	205	19	413	94	0	7	43	2	31	221	1	2	2	3	133	39	1	14	48	42	129	19	183	146	6	11	1037	30	104	1	3	48	19	15	104	143	3254	33	13	102	334	37	48	184	0	8	54	48	425	97	10	0	13	6	18	4	5	2	5	127	50	43	3	14	64	228	53	9	255	352	182	5	7	13	49	41	413	13	97	63	0	196	5	8	3	8	7	5	11	1	8	4	9	11	17	7	11	69	19	13	4	48	7	0	34	19	48	6	2	0	0	24	541	44	4	15	8	96	141	324	109	89	3	0	47	19	89	6	128	5	568	4008	333	225	463	339	626	395	329	471	1054	1748	923	472	68	715	1057	48	148	248	283	86	6950	3294	1164	4522	6065	1414	4398	8997	0	6	595	1106	2	0	2	4	15	3	24	6	0	100	275	33	23	64	257	147	908	124	4589	621	68	103	74	22	120	20	51	47	4	6	128	316	112	61	1	593	14	2	2	93	0	86	45	3	0	19	52	105	185	5	347	468	703	1145	0	189	405	45	12	9	284	8	23	122	128	23	355	235	425	13	79	93	23	322	30	107	65	0	3041	188	43	632	68	235	1081	544	20	18	1098	170	102	103	19	963	271	12	2148	562	476	49	231	53	16	24	56	124	7	12	553	120	164	353	541	813	364	450	1508	116	3	0	98357
