idDaInstituicao	anoDePublicacao	total
867100000004-31	2014	268
867100000004-31	2013	272
867100000004-31	2012	264
867100000004-31	2011	261
867100000004-31	2010	295
121100000001-43	2013	36
121100000001-43	2010	60
033400000004-31	2015	438
033400000004-31	2014	490
024700000000-35	2015	101
024700000000-35	2010	165
198100000000-41	2014	604
010300000003-41	2013	2591
010300000003-41	2012	2033
010300000003-41	2011	2195
002100000009-26	2015	1768
002100000009-26	2010	2113
198100000000-41	2015	727
198100000000-41	2013	717
198100000000-41	2010	481
007900000004-35	2015	4459
007900000004-35	2014	4767
007900000004-35	2013	4945
007900000004-35	2012	5044
007900000004-35	2011	4550
007900000004-35	2010	4799
033300000002-31	2015	5048
033300000002-31	2014	5171
033300000002-31	2013	5050
033300000002-31	2012	4896
033300000002-31	2011	4724
033300000002-31	2010	4100
087000000006-50	2014	559
087000000006-50	2012	413
087000000006-50	2011	463
003900000001-33	2011	3434
001700000990-23	2014	7
001700000990-23	2013	9
001700000990-23	2012	2
001700000990-23	2010	2
033700000000-24	2014	1231
033700000000-24	2013	1226
033700000000-24	2011	1096
033700000000-24	2010	1111
000300000006-31	2012	1158
000300000006-31	2011	1109
006700000002-35	2015	13177
006700000002-35	2014	14205
006700000002-35	2013	13667
006700000002-35	2012	12309
006700000002-35	2010	13731
003000000005-43	2015	4
003000000005-43	2014	3
003000000005-43	2013	6
082000000005-35	2014	1
082000000005-35	2012	1
019200000005-43	2015	4464
004300000009-42	2013	2643
004300000009-42	2010	2342
003900000001-33	2012	2168
003900000001-33	2010	2097
003900000001-33	2015	1791
003900000001-33	2014	2766
003900000001-33	2013	2746
006700000002-35	2011	13477
032900000005-41	2015	1432
032900000005-41	2014	1370
032900000005-41	2012	1131
032900000005-41	2011	1274
032900000005-41	2010	1065
033700000000-24	2012	1053
024000000008-53	2015	1473
024000000008-53	2013	2036
020200000009-33	2014	5608
020200000009-33	2011	5449
020200000009-33	2010	5144
IZF500000008-41	2014	2
IZF500000008-41	2012	3
024000000008-53	2014	1844
008400000003-13	2010	380
001501001016-31	2015	3
001501001016-31	2014	9
001501001016-31	2013	7
001501001016-31	2011	12
001501001016-31	2010	11
061400000000-26	2015	132
061400000000-26	2014	182
061400000000-26	2013	188
061400000000-26	2012	281
061400000000-26	2011	215
061400000000-26	2010	243
032600000000-33	2015	1802
032600000000-33	2014	1801
032600000000-33	2013	1765
000600000001-43	2011	873
081100000009-43	2015	174
081100000009-43	2014	209
081100000009-43	2012	225
081100000009-43	2011	270
019200000005-43	2012	3990
033500000006-42	2015	1323
033200000000-51	2015	618
033200000000-51	2014	646
033200000000-51	2013	681
033200000000-51	2012	596
033200000000-51	2011	571
192900000005-27	2010	36
586600000000-33	2012	37
001200000991-50	2011	1
009200000008-53	2015	303
009200000008-53	2014	309
009200000008-53	2013	424
009200000008-53	2012	389
009200000008-53	2011	419
009200000008-53	2010	377
807700000001-35	2014	83
807700000001-35	2013	80
449300000004-31	2010	10
000200000993-35	2010	311
029100000000-29	2011	1605
JCPL00000005-13	2015	5
JCPL00000005-13	2014	4
JCPL00000005-13	2013	3
008000000006-41	2014	954
008000000006-41	2013	999
008000000006-41	2012	944
008000000006-41	2010	799
008900000002-23	2010	1642
IYD400000002-53	2015	2
020200000009-33	2012	5479
004400000000-15	2015	116
007400000005-35	2015	37
007400000005-35	2014	21
007400000005-35	2013	24
007400000005-35	2011	24
007400000005-35	2010	9
008900000002-23	2014	1950
080400000006-31	2010	571
117700000004-33	2012	76
038400000005-43	2011	659
J1GS00000009-11	2014	20
004100000005-35	2014	465
004100000005-35	2013	689
006200000003-35	2010	3569
000500000999-24	2015	1
033700000000-24	2015	1164
033400000004-31	2013	490
033400000004-31	2012	504
033400000004-31	2011	353
033400000004-31	2010	326
033000000007-35	2013	6458
033000000007-35	2011	5833
033000000007-35	2010	5336
IX9M00000000-23	2015	10
IX9M00000000-23	2014	6
IX9M00000000-23	2012	7
002500000006-33	2015	409
002500000006-33	2014	499
002500000006-33	2013	454
002500000006-33	2012	752
002500000006-33	2011	432
002500000006-33	2010	334
502700000001-26	2013	30
006200000003-35	2014	3250
006200000003-35	2012	3590
020200000009-33	2015	6398
003900000001-23	2015	13
003900000001-23	2013	12
003900000001-23	2012	9
003900000001-23	2011	26
906100000009-13	2011	1
000800000994-35	2010	107
032700000001-43	2015	2173
032700000001-43	2014	2194
032700000001-43	2013	2174
032700000001-43	2011	1708
985600162083-53	2010	6
033100000009-27	2015	421
033100000009-27	2014	456
033100000009-27	2012	413
033100000009-27	2010	386
008900000002-23	2013	1779
171500000005-35	2015	31
171500000005-35	2014	45
171500000005-35	2012	58
171500000005-35	2010	65
885300000006-51	2014	77
885300000006-51	2012	44
885300000006-51	2011	46
885300000006-51	2010	32
IX2400000007-43	2015	44
IX2400000007-43	2012	34
001600000999-43	2013	8
001600000999-43	2012	13
001600000999-43	2011	9
001600000999-43	2010	11
198100000000-41	2012	588
004300000009-42	2015	2743
004300000009-42	2011	2608
006700000002-42	2014	1276
006700000002-42	2013	1316
011100000008-33	2015	490
011100000008-33	2013	511
020200000009-33	2013	5506
000500000999-35	2013	97
501100000002-24	2013	48
930820000000-15	2015	7
930820000000-15	2014	5
930820000000-15	2012	20
930820000000-15	2011	20
930820000000-15	2010	4
007200000001-23	2013	103
007200000001-23	2012	157
008200000000-13	2011	335
780900000000-43	2013	77
029100000000-29	2012	1069
029100000000-29	2010	1098
342800000000-41	2015	185
342800000000-41	2014	156
342800000000-41	2013	194
342800000000-41	2012	157
342800000000-41	2011	133
342800000000-41	2010	123
567200000007-42	2014	91
567200000007-42	2013	124
567200000007-42	2012	122
567200000007-42	2010	101
000500000999-35	2014	85
000500000999-35	2012	117
000500000999-35	2011	98
000500000999-35	2010	105
I3CJ00000006-50	2010	192
460900000006-41	2013	46
002100000009-26	2011	1837
870400000000-31	2013	89
171500000005-35	2013	64
171500000005-35	2011	61
032700000001-43	2012	1829
032700000001-43	2010	1427
306200000002-35	2011	149
306200000002-35	2010	186
I22A00000002-29	2015	119
I22A00000002-29	2014	129
I22A00000002-29	2011	140
I22A00000002-29	2010	156
019200000005-43	2014	4638
019200000005-43	2013	3996
019200000005-43	2010	3400
027200000006-33	2013	26
027200000006-33	2012	24
027200000006-33	2011	34
027200000006-33	2010	27
005900000008-41	2012	341
004400000000-27	2014	861
029100000000-29	2014	1349
029100000000-29	2013	1362
892700000006-42	2015	53
892700000006-42	2013	75
892700000006-42	2012	65
010300000003-41	2014	2222
832500000009-33	2010	440
884100000004-35	2010	1
007000000008-28	2012	654
020100000007-43	2014	79
020100000007-43	2013	70
653900000006-35	2015	34
033000000007-35	2014	5822
033000000007-35	2012	5936
008900000002-23	2015	1562
008900000002-23	2011	1853
004500000002-43	2012	2505
004500000002-43	2011	1567
482000000000-13	2012	8
009200000008-52	2011	90
006700000002-42	2015	1271
006700000002-42	2012	1117
006700000002-42	2011	1087
006700000002-42	2010	1197
J32200000000-42	2015	40
J32200000000-42	2014	36
J32200000000-42	2013	35
J32200000000-42	2012	43
008900000002-23	2012	1821
032900000005-41	2013	1319
168400000003-35	2012	1
168400000003-35	2010	1
009200000008-52	2015	41
009200000008-52	2014	85
009200000008-52	2013	90
009200000008-52	2010	75
014000000000-33	2010	89
009200000008-42	2014	221
009200000008-42	2013	203
009200000008-42	2012	217
033500000006-42	2014	1381
033500000006-42	2012	1411
033500000006-42	2011	1141
001300000993-43	2011	8
032600000000-33	2012	3165
032600000000-33	2010	1501
080400000006-31	2015	709
080400000006-31	2014	730
080400000006-31	2012	826
080400000006-31	2011	576
010300000003-41	2015	2250
019200000005-43	2011	4307
J32200000000-43	2015	47
J32200000000-43	2014	60
J32200000000-43	2013	50
J32200000000-43	2012	82
J32200000000-43	2011	84
J32200000000-43	2010	89
002000000996-35	2013	6
002000000996-35	2011	8
778500000000-35	2015	126
778500000000-35	2011	421
308200000009-43	2013	39
008400000003-13	2014	534
008400000003-13	2011	445
002100000009-26	2014	1935
033000000007-35	2015	5952
870400000000-31	2015	101
482000000000-13	2014	22
482000000000-13	2013	21
288200000000-50	2014	34
288200000000-50	2011	22
288200000000-50	2010	37
173700000005-33	2010	12
010600000009-52	2012	1259
F3V900000009-52	2015	182
010300000003-41	2010	1896
832500000009-33	2014	411
832500000009-33	2013	455
832500000009-33	2012	394
ISUL00000001-33	2012	4
ISUL00000001-33	2010	7
004000000003-23	2015	244
004000000003-23	2014	279
004000000003-23	2013	280
004000000003-23	2012	328
