ID_da_instituicao	ID_da_subdisciplina	Ano	Publicacoes
867100000004	75	2014	4
867100000004	449	2014	6
867100000004	522	2013	3
867100000004	519	2013	3
867100000004	161	2012	9
867100000004	37	2012	6
867100000004	339	2011	12
867100000004	161	2011	13
867100000004	339	2010	12
867100000004	402	2010	3
121100000001	42	2013	1
121100000001	16	2010	2
033400000004	257	2015	11
033400000004	523	2014	26
024700000000	387	2015	8
024700000000	387	2010	8
198100000000	436	2014	9
010300000003	257	2013	33
010300000003	255	2013	19
010300000003	255	2012	34
010300000003	339	2011	29
002100000009	256	2015	1
002100000009	96	2010	2
198100000000	179	2015	7
198100000000	269	2013	2
198100000000	310	2010	5
007900000004	199	2015	20
007900000004	199	2014	24
007900000004	199	2013	7
007900000004	199	2012	13
007900000004	90	2012	19
007900000004	277	2011	8
007900000004	38	2011	43
007900000004	269	2011	9
007900000004	199	2010	16
033300000002	77	2015	36
033300000002	523	2015	260
033300000002	454	2015	71
033300000002	454	2014	186
033300000002	523	2014	261
033300000002	453	2014	6
033300000002	349	2013	7
033300000002	190	2013	3
033300000002	454	2013	208
033300000002	116	2013	30
033300000002	443	2012	24
033300000002	454	2012	156
033300000002	116	2012	18
033300000002	454	2011	192
033300000002	512	2011	5
033300000002	26	2011	66
033300000002	454	2010	179
087000000006	49	2014	8
087000000006	284	2012	9
087000000006	107	2011	56
087000000006	284	2011	5
003900000001	257	2011	36
001700000990	402	2014	2
001700000990	509	2014	1
001700000990	26	2014	1
001700000990	9	2014	1
001700000990	12	2014	2
001700000990	514	2014	1
001700000990	402	2013	2
001700000990	115	2013	1
001700000990	26	2013	2
001700000990	203	2013	1
001700000990	9	2013	1
001700000990	26	2012	1
001700000990	402	2012	1
001700000990	4	2010	1
033700000000	419	2014	13
033700000000	419	2013	15
033700000000	9	2011	8
033700000000	419	2011	17
033700000000	514	2010	9
033700000000	9	2010	13
000300000006	107	2012	111
000300000006	49	2011	47
007900000004	261	2014	6
007900000004	261	2012	4
006700000002	117	2015	31
006700000002	49	2014	99
006700000002	117	2013	87
006700000002	49	2012	98
006700000002	117	2012	73
006700000002	49	2010	116
006700000002	107	2010	198
003000000005	316	2015	1
003000000005	119	2014	2
003000000005	339	2013	2
082000000005	547	2014	1
082000000005	138	2012	1
019200000005	192	2015	14
004300000009	4	2013	13
004300000009	54	2013	39
004300000009	6	2013	94
004300000009	523	2013	56
004300000009	304	2010	5
003900000001	49	2012	7
003900000001	49	2010	23
006700000002	340	2014	142
006700000002	523	2012	432
006700000002	29	2010	126
003900000001	11	2015	18
003900000001	454	2014	551
