ID_da_instituicao	Publicacoes
100000002	2099
200000004	1803
200000993	5084
300000006	6826
300000995	2534
400000008	326
400000997	2644
500000000	7890
500000999	1582
501004025	14
501005048	37
501006010	25
502001011	89
502004037	3
503001015	2
504001035	45
504002023	20
600000001	5437
600000990	1349
700000003	182
700000992	1445
800000005	4
800000994	1117
900000007	966
900000996	773
1000000998	738
1100000990	646
1200000002	540
1200000991	589
1300000993	490
1400000006	262
1400000995	709
1500000008	6361
1500000997	435
1501001016	49
1600000999	409
1700000001	902
1700000990	346
1800000003	47
1800000992	382
1900000005	557
1900000994	232
2000000996	447
2100000009	11263
2100000998	279
2200000000	46
2200000990	121
2300000002	5
2300000991	73
2400000004	23
2400000993	86
2500000006	2880
2500000995	142
2600000008	6
2600000997	91
2700000000	198
2700000999	36
2800000001	1561
2800000990	102
2900000003	979
2900000992	33
3000000005	19
3000000994	26
3100000007	159
3100000996	142
3200000009	144
3200000998	39
3300000000	54
3300000990	5
3400000991	20
3500000993	14
3700000997	18
3800000000	4
3800000999	7
3900000001	19239
4000000003	1753
4000000992	88
4100000005	3222
4100000994	7
4200000007	10
4300000009	15781
4400000000	5520
4500000002	11679
4500000991	6
4700000006	159
4800000008	25
5100000003	14
5200000005	9
5400000998	9
5800000006	504
5900000008	2225
6100000001	259
6200000003	20481
6700000002	87830
6900000006	257
7000000008	3812
7100000000	412
7200000001	782
7400000005	127
7700000000	1925
7900000004	28564
8000000006	5445
8200000000	1995
8300000001	6103
8400000003	3297
8700000009	3483
8800000000	111
8900000002	10607
9100000006	7
9200000008	11419
9800000009	492
10000000008	6
10100000000	29
10200000001	946
10300000003	13187
10400000005	614
10600000009	7855
10800000002	3
11000000006	151
11100000008	2718
11300000001	1
12000000004	2
12600000005	61
12800000009	197
13100000004	90
13200000006	6
13300000008	7
13700000005	44
13800000007	170
14000000000	1944
14200000004	78
14300000006	9
14400000008	3
14500000000	4
14600000001	5
15100000000	94
15200000002	2
15300000004	6
15500000008	41
16200000000	1
16300000002	277
16700000000	3397
16900000003	46
17000000005	6
17500000004	59
18100000005	14
19200000005	24795
20100000007	449
20200000009	33584
20700000008	2461
21000000003	69
21100000005	3140
21200000007	128
21500000002	26
21700000006	1252
22900000008	409
23100000001	400
23200000003	91
23400000007	14
23500000009	20
23600000000	59
24000000008	9957
24300000003	5
24500000007	229
24700000000	1032
24800000002	1157
25500000005	198
25600000007	3
25900000002	316
26200000008	7
26600000005	795
27200000006	137
27500000001	270
27700000005	33
28000000000	8
28100000002	9
28200000004	675
28300000006	5
28700000003	295
29100000000	7478
29500000008	101
31100000002	12
32100000000	1727
32300000004	3036
32600000000	12309
32601001042	68
32601001077	18
