ID_da_instituicao	Publicacoes
11300000001	1
16200000000	1
32602003049	1
35500000002	1
39600000007	1
48200000009	1
57000000004	1
62500000000	1
69300000003	1
89000000002	1
109800000005	1
174800000005	1
179500000000	1
202900000006	1
212000000007	1
253800000009	1
295900000006	1
396900000000	1
431300000001	1
434600000001	1
439300000007	1
450700000005	1
451600000001	1
470700000000	1
483800000003	1
499800000000	1
524500000009	1
531100000004	1
544300000000	1
546500000000	1
553600000004	1
560600000007	1
586500000009	1
624800000000	1
630300000006	1
767400000003	1
770000000006	1
776100000007	1
805400000000	1
841200000002	1
873500000006	1
879100000008	1
881000000008	1
893300000007	1
985600044200	1
985600074036	1
985600085429	1
985600088274	1
985600093650	1
985600151006	1
985600154056	1
985600206560	1
985600214059	1
985600390493	1
985600482410	1
985600726106	1
985607399712	1
985607506861	1
0O2I00000000	1
0UMX00000002	1
0W5Q00000007	1
DBS000000002	1
GFKM00000009	1
GFLO00000000	1
I50400000005	1
II2600000007	1
IVH200000000	1
IWJH00000002	1
IWT500000009	1
IWU200000000	1
IX1000000001	1
IXN100000000	1
IY4J00000000	1
IZ3P00000001	1
IZDL00000004	1
J12P00000000	1
J13700000002	1
J13A00000000	1
J1L900000000	1
J1OA00000008	1
J27M00000003	1
J2DM00000000	1
J6K900000008	1
J6NJ00000002	1
J73L00000005	1
J7ES00000006	1
J7SZ00000003	1
J8E900000005	1
J8WL00000004	1
JAA700000000	1
JABI00000000	1
JAKN00000003	1
JAX800000007	1
JCY300000000	1
503001015	2
12000000004	2
15200000002	2
32603005010	2
46700000001	2
57500000003	2
57900000000	2
63400000006	2
154700000009	2
168400000003	2
179900000008	2
326600000004	2
368600000000	2
383600000003	2
404800000003	2
405100000009	2
452100000000	2
456000000001	2
570900000000	2
603500000002	2
611700000007	2
768800000009	2
824300000004	2
833400000005	2
854000000000	2
864100000000	2
876100000003	2
888300000000	2
906100000009	2
920771000008	2
985600001233	2
985600043882	2
985600086387	2
985600089262	2
985600089670	2
985600106531	2
985600107511	2
985600107520	2
985600160412	2
985600163446	2
985600178648	2
985600179776	2
985600191920	2
985600197952	2
985600200260	2
985600203944	2
985600209462	2
985600216930	2
985600393360	2
985600419670	2
985600701928	2
985601114120	2
985601325016	2
985601345769	2
985601361918	2
985607362983	2
985607399968	2
985607401296	2
985608320567	2
GFKL00000007	2
HBDU00000007	2
HBH100000001	2
HEAK00000004	2
HVL300000006	2
IANL00000008	2
IVKP00000008	2
IWUM00000000	2
IX9G00000008	2
IXJ000000007	2
IXJQ00000008	2
IXRF00000000	2
IXXF00000007	2
IYC500000006	2
IYD400000002	2
IYIA00000006	2
IYK100000002	2
IYKU00000000	2
IYSC00000000	2
IYXK00000005	2
IZBD00000001	2
IZZS00000003	2
J00N00000003	2
J0AV00000000	2
J0GE00000004	2
J0LU00000006	2
J0MF00000003	2
J0N300000008	2
J0UF00000007	2
J0VX00000001	2
J10F00000004	2
J1JO00000006	2
J23700000000	2
J2IP00000007	2
J2Z200000007	2
J36200000002	2
J4CK00000003	2
J4HL00000006	2
J4JR00000003	2
J6EO00000001	2
J7K600000000	2
J7S900000000	2
J8JD00000005	2
J8LC00000008	2
J8UJ00000002	2
J8X800000005	2
JAJF00000000	2
JCIQ00000009	2
JHUP00000008	2
JL7K00000002	2
JME100000007	2
JN4X00000008	2
JOUV00000009	2
502004037	3
10800000002	3
14400000008	3
25600000007	3
61900000009	3
79400000002	3
113800000003	3
114200000000	3
192600000000	3
192700000001	3
193500000006	3
331400000007	3
353400000008	3
385300000004	3
385700000001	3
415200000008	3
439100000003	3
447900000009	3
455400000000	3
456900000008	3
457000000000	3
458800000002	3
485400000002	3
503500000006	3
503900000003	3
527400000001	3
528500000001	3
534700000000	3
562700000005	3
623700000000	3
633800000000	3
747100000003	3
824100000000	3
832200000003	3
852800000009	3
853600000003	3
861700000006	3
867500000001	3
