ID_da_instituicao	Nome_da_instituicao	ID_do_estado	ID_da_mesoregiao	ID_da_microregiao	ID_do_municipio
000600000001	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31	310010	310049	3101607
000200000993	INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA	26	260005	260017	2611606
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43	430003	430018	4316907
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31	310007	310033	3146107
006200000003	UNIVERSIDADE FEDERAL DE SAO PAULO	35	350015	350061	3550308
024700000000	INSTITUTO ADOLFO LUTZ	35	350015	350061	3550308
006700000002	UNIVERSIDADE DE SAO PAULO	35	350015	350061	3550308
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41	410010	410037	4106902
002400000993	UNIDADE DE EMERGENCIA DO HOSPITAL DAS CLINICAS FMRP USP	35	350002	350014	3543402
000200000993	BUISSA E SILVESTRO LTDA ME	11	110002	110006	1100049
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41	410010	410037	4106902
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606
064100000009	GOVERNO DO ESTADO DO PARANA	41	410010	410037	4106902
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35	350007	350032	3509502
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43	430005	430026	4314902
007000000008	UNIVERSIDADE FEDERAL DE SERGIPE	28	280003	280011	2806701
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31	310007	310030	3106200
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50	500002	500004	5002704
003900000001	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23	230003	230016	2304400
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24	240004	240018	2408102
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31	310011	310057	3138203
006700000002	UNIVERSIDADE DE SAO PAULO	35	350007	350029	3539301
007400000005	FUNDACAO CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICACOES	35	350007	350032	3509502
003000000005	FUNDACAO DE CIENCIA E TECNOLOGIA	43	430005	430026	4314902
082000000005	CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO PINHEIROS	35	350015	350061	3550308
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41	410003	410009	4115200
004400000000	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805
769300000008	INSTITUTO TECNOLOGICO DE AERONAUTICA	35	350013	350050	3549904
501600000001	UNIVERSIDADE LUTERANA DO BRASIL	43	430005	430026	4304606
985601000990	SECRETARIA MUNICIPAL DE SAUDE DE JUAZEIRO DO NORTE	23	230007	230032	2307304
024000000008	UNIVERSIDADE DE BRASILIA	53	530001	530001	5300108
020200000009	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	33	330006	330018	3304557
008400000003	INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA	13	130003	130007	1302603
001501001016	NUCLEO DE FABRICACAO	31	310005	310018	3170206
061400000000	UNIVERSIDADE DE PERNAMBUCO	26	260005	260017	2611606
032600000000	UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	33	330006	330018	3304557
062200000004	UNIVERSIDADE FEDERAL DO ACRE	51	510003	510014	5107206
117800000006	PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS	31	310007	310030	3106200
081100000009	UNIVERSIDADE DE CAXIAS DO SUL	43	430002	430016	4305108
033500000006	UNIVERSIDADE FEDERAL DE SAO CARLOS	42	420001	420002	4216008
033200000000	UNIVERSIDADE FEDERAL DE MATO GROSSO	51	510001	510007	5107909
192900000005	UNIVERSIDADE DO ESTADO DO PARA	27	270002	270005	2700805
586600000000	UNIVERSIDADE VEIGA DE ALMEIDA	33	330004	330010	3300704
001200000991	HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN	50	500002	500004	5002704
IZCF00000003	UNIVERSIDADE FEDERAL DO PAMPA	43	430006	430031	4301602
009200000008	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA	53	530001	530001	5300108
008900000002	UNIVERSIDADE FEDERAL DO CEARA	23	230003	230016	2304400
006700000002	UNIVERSIDADE DE SAO PAULO	35	350002	350014	3543402
051400000002	UNIVERSIDADE PRESBITERIANA MACKENZIE	35	350015	350061	3550308
807700000001	UNIVERSIDADE CRUZEIRO DO SUL	35	350015	350061	3550308
000200000993	NEO FACE CLINICA DE CIRURGIA ORAL E MAXILOFACIAL	35	350015	350061	3550308
029100000000	UNIVERSIDADE FEDERAL DA BAHIA	29	290005	290021	2927408
169700000007	UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO	33	330006	330018	3304557
008000000006	UNIVERSIDADE ESTADUAL DE LONDRINA	41	410003	410011	4113700
008900000002	UNIVERSIDADE FEDERAL DO CEARA	23	230001	230005	2312908
001000000998	CENTRO DE CIENCIAS AGRARIAS	25	250003	250015	2501104
004400000000	UNIVERSIDADE FEDERAL DO PARA	15	150004	150010	1501709
080400000006	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	31	310012	310065	3136702
009200000008	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA	33	330006	330018	3304557
117700000004	UNIVERSIDADE DO GRANDE RIO	33	330006	330018	3301702
032300000004	UNIVERSIDADE FEDERAL DO PIAUI	22	220002	220003	2211001
038400000005	HOSPITAL DE CLINICAS DE PORTO ALEGRE	43	430005	430026	4314902
000800000994	CLINICA REUMATOLOGICA	31	310007	310030	3106200
J1GS00000009	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE RONDONIA	11	110002	110004	1100122
004100000005	CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS	35	350007	350032	3509502
001400000006	FUNDACAO EZEQUIEL DIAS	31	310007	310030	3106200
000500000999	CARDIOCENTRO CLINICA DE DOENCAS DO CORACAO	24	240004	240018	2408102
033000000007	UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO	35	350006	350026	3543907
002500000006	CENTRO BRASILEIRO DE PESQUISAS FISICAS	33	330006	330018	3304557
