subd_id	subd_name	disc_id
1	Clinical Cancer Research	3
2	Circulation	3
3	Data Mining	7
4	Protein Science	2
5	Signal Processing	7
6	Neuroscience; Molecular & Cellular	8
7	Anesthetics & Analgesics	3
8	Urology	3
9	Immunology	10
10	Macromolecules & Polymers	5
11	Affective Disorders	8
12	Oncology	3
13	Surface Science	11
14	Nonlinear Analysis	11
15	Hospital Financial Management	12
16	Rheumatology	3
17	Occupational Health	12
18	Organic Chemistry	5
19	Leukemia	3
20	Virology	10
21	Plant Physiology	1
22	Allergy & Clinical Immunology	3
23	Material Science	4
24	Dermatology	3
25	Kidney	3
26	Pharmacology Science	3
27	Law	13
28	Medical Imaging	8
29	Bacteriology	10
30	Marine Biology	1
31	Developmental Biology	3
32	Digestion	3
33	Toxicology Applied Pharmacology	3
34	Transportation Research	4
35	Inorganic Chemistry	5
36	Chemical Engineering	4
37	Pharmaceutical Research	5
38	Semiconducting Materials	11
39	Diabetes Care	3
40	Clinical Neurophysiology	8
41	Ophthalmology	3
42	Nutrition	12
43	Finance	13
44	Neurosurgery	8
45	Fertility	3
46	Applied Optics	7
47	Nuclear Engineering	4
48	Molecular Cell Biology	10
49	Food Chemistry	5
50	Obstetrics	3
51	Chest & Respiratory	3
52	Earthquake Engineering	4
53	Zoology	1
54	Pharmaceutical Design	5
55	AntiMicrobial Agents	10
56	Systems Software	7
57	Decision Support Systems	13
58	Business Ethics	13
59	Vascular Surgery	3
60	Pulp & Paper	4
61	Seismology	6
62	Bone Joint Surgery	12
63	Neurology	8
64	Algebra	11
65	Antenna	7
66	Circuit Systems	7
67	Nursing Specialists	12
68	Retinal Surgery	12
69	Psychopharmacology	8
70	Aeronautics & Astronautics	4
71	Psychoanalysis	12
72	Oceanography	6
73	Sports Medicine	12
74	Operations Research	13
75	Chromatography; Electrophoresis	5
76	Pediatrics	3
77	Cardiovascular	3
78	Paleobiology	6
79	Economics	13
80	Hypertension	12
81	Human Molecular Genetics	3
82	Clinical Endocrinology	3
83	Dietetics	3
84	Clinical Microbiology	10
85	Hospital Pharmacy	12
86	Gas Turbines	4
87	Remote Sensing	6
88	Computational Chemistry	5
89	Surgery	3
90	Ceramics	4
91	AIDS Research	3
92	Military Aviation	4
93	Medical Records	12
94	Statistics	13
95	Applied Economics	13
96	Automatic Control	7
97	Atmospheric Science	6
98	Automotive Engineering	4
99	BioStatistics	13
100	Employee Health Benefit Plans	12
101	Transplantation	3
102	Alloys	4
103	Astronomy & Astrophysics	11
104	Substance-abuse Treatment	12
105	Research Policy; Technology Management	13
106	Drug Discovery	12
107	Animal Science	10
108	Chaos Fractals & Complexity	11
109	Environmental Contamination	1
110	Otolaryngology; Laryngoscope	8
111	Mechanical Design Engineering	4
112	Classics	9
113	Biological Conservation	1
114	Thoracic Surgery	3
115	Phytochemistry	5
116	Tropical Medicine	10
117	Food Protection	2
118	Broadband Communication	7
119	Energy Fuel	4
120	Soil Quality	4
121	Integrated Circuit Design	7
122	Philosophy Psychology	9
123	Construction & Project Management	13
124	Social Psychology	13
125	High Energy Physics	11
126	Strategic Management	13
127	Genomics & Nucleic Acids	2
128	Heat Transfer	4
129	Cement & Concrete	4
130	Pathology	3
131	Pest Management Science	1
132	Corrosion	4
133	Veterinary Science	10
134	Teacher Education; Evaluation	13
135	Stem Cells	3
136	Image Processing	7
137	Neural Networks	7
138	Nursing Education	12
139	Intensive Care	3
140	Alternative Complementary Medicine	12
141	Petroleum Engineering	4
142	Music & Theatre	9
143	Memory & Cognition	8
144	Vision	8
145	Communication Research	13
146	BioInformatics	2
147	Mechanics of Solids & Structures	4
148	Pharmacy	3
149	Geomorphology	6
150	Psychosis; Schizophrenia	8
151	BioEthics	12
152	Parallel Computing	7
153	Power Distribution	7
154	Gerontology	12
155	Wood	4
156	Discrete Applied Mathematics	11
157	Geology & Tectonics	6
158	GeoChemistry	6
159	Mobile Networks	7
160	Artificial Intelligence	7
161	Electro Analytical Chemistry	5
162	Dental Education	12
163	Enzyme Microbiological Techniques	2
164	Library Science; Information Retrieval	7
165	Biomaterials	12
166	Quaternary Research	6
167	Endoscopic Surgery	3
168	Composites	4
169	Language Learning	13
170	American History	9
171	Leadership & Organizational Behavior	13
172	Agricultural Engineering	4
173	Computer-Aided Process Planning	13
174	Geriatrics	8
175	Solid State Electronics	7
176	Optics & Lasers	11
177	Wool	4
178	Biomechanics	12
179	Molecular Physics	5
180	Comparative Animal Physiology	1
181	Political Science	13
182	Science History	9
183	Poetry	9
184	Nuclear Medicine	3
185	Nanotechnology	5
186	Speech Recognition	7
187	Fluid Mechanics	4
188	Computer Graphics	7
189	Filtration Membrane	4
190	Clinical Infectious Disease	3
191	Prosthetic Dentistry	12
192	Orthodontics	12
193	Robotic Systems	7
194	Dental Research	12
195	Atomic Spectrometry	5
196	Botany	1
197	Public Health Service	12
198	Political Geography	13
199	Catalysis	5
200	Radiation Protection	3
201	Machine Tools	4
202	Veterinary Medicine	10
203	Periodontology	12
204	Birth Defects	3
205	Thrombosis	3
206	Freshwater Biology	1
207	Mental Health Nursing	12
208	Artificial Evolution	7
209	English Literature	9
210	Plastic Surgery	12
211	Nursing Administration	12
212	Higher Education	13
213	Ecology	1
214	Modern Language	9
215	Neurophysiology & Neuroscience	8
216	Mining	4
217	Aquaculture	1
218	Molecular Biological Evolution	1
219	Photonics	11
220	Urban Studies	13
221	Functional Analysis	11
222	Linguistics	9
223	Photo-Optics	7
224	Spine	12
225	Robotics	7
226	Audiology	12
227	Soil Science	4
228	Simulation	11
229	Nuclear Instrumentation	11
230	Hispanic Studies	9
231	Forest Science	1
232	Plasma Physics	11
233	Proteomics	2
234	Symbolic Interaction	13
235	Child & Adolescent Psychiatry	8
236	General Practice	12
237	Environmental Management	13
238	Diabetes Metabolism	3
239	Geotechnical Engineering	4
240	Instrumentation	7
241	Clinical Chemistry	3
242	Fluid Engineering	4
243	Arthroscopy	12
244	Eating Disorders; Sex Roles	13
245	Water Quality & Resource Management	4
246	Ethnic Migration	13
247	Geriatric Psychiatry	8
248	Sound & Vibration	4
249	Ore Processing	4
250	Ethnology	13
251	Prenatal Diagnostics	3
252	Cancer (translated)	3
253	Dielectrics	7
254	Atmospheric GeoPhysics	6
255	Flavors & Fragrance	5
256	Numerical Methods in Engineering	4
257	EthnoPharmacology	5
258	Electrocardiography	3
259	International Development	13
260	Electrochemistry	4
261	Political Studies	13
262	Molecular Endocrinology	3
263	Surface Coating Technology	11
264	Molecular Biochemical Parasitology	1
265	Vocational Counseling	13
266	Oil & Natural Gas	4
267	International Conflict	13
268	Art History	9
269	Applied Catalysis	5
270	Agricultural Economics	13
271	Social Work	13
272	Medical Insurance	12
273	Fluid Phase Equilibrium	4
274	Biotechnology Trends	2
275	Air Quality	6
276	Search Engines; Web Crawling	7
277	Colloid	5
278	Applied Physiology; Muscle	12
279	Biblical Literature	9
280	Fault Tolerant Computing	7
281	Third World Political Economics	13
282	Public Hospitals	12
283	Sociology	13
284	Horticulture	1
285	Bone & Osteoporosis	3
286	Radiation Therapy	3
287	Water Treatment	4
288	Spyware; Malware	7
289	Behavioral Research Therapy	12
290	Science Education	13
291	Design & Analysis of Algorithms	11
292	Hospice Care	12
293	Climatology	6
294	Crop Science	1
295	Fuzzy Sets	7
296	Vehicle System Design	4
297	Transfusion	3
298	AIDS Treatment	12
299	Wireless Communication	7
300	Atherosclerosis	3
301	Region & Medical Ethics	12
302	Speech Language & Hearing	8
303	Thoracic & Respiratory	3
304	Veterinary Microbiology	10
305	Environmental Protection	4
306	Computer Systems Design	7
307	Environmental Pollution	4
308	Electrical Networks	7
309	Endoscopy	3
310	Chemistry & Material Science	5
311	Medical Screening & Epidemiology	12
312	Child Development	13
313	Pain	12
314	Public Administration	13
315	Soil Analysis	1
316	Safety Management	4
317	Pattern Recognition	7
318	Mental Health Assessment	12
319	Clinical Medicine (translated)	3
320	Mutation; DNA Repair	10
321	Human Evolution	1
322	Space Research	11
323	Entomology	1
324	Epilepsy	8
325	Plant Ecology	1
326	Computer Aided Molecular Design	5
327	Criminology	13
328	Forensic Psychiatry	8
329	Personality	13
330	Test Equipment	7
331	Logic	7
332	Pulp Paper Science	4
333	Textiles	4
334	Contemporary Philosophy	9
335	Hydrology Soil Contamination	4
336	Child Abuse	13
337	Mathematics Research	11
338	Geology (International)	6
339	Environmental Chemistry	5
340	Parasitology	1
341	Dairy Science	10
342	Water Policy	4
343	Fish Research	1
344	Printing	4
345	Genetics	1
346	Industrial Chemistry	4
347	Obesity	12
348	Literary Criticism	9
349	Hepatology	3
350	Physical Therapy; Brain Injury	8
351	Computational Math	11
352	World Health Organization	10
353	Geophysical Science	11
354	Forensic Medicine	12
355	Psychiatric Services	12
356	Software Design and Development	7
357	Wildlife Management	1
358	Ocean Coastal Management	4
359	Database Design & Management	7
360	Financial Accounting	13
361	Microbiology Biotechnology	2
362	Water Utilities	4
363	Sedimentary Geology	6
364	Geodesy	6
365	Surfactants	5
366	Eye	3
367	Addictive Behavior	12
368	Naval Architecture	4
369	Environmental Microbiology	1
370	Electronic Imaging	7
371	Functional Programing	7
372	Applied Genetics	1
373	Plant Disease	1
374	Water Resource	6
375	Developmental Economics	13
376	Nuclear Physics	11
377	International Economics	13
378	Radiology	3
379	German Studies	9
380	Medieval History	9
381	Philosophy of Education	9
382	Oceanographic Instrumentation	4
383	Foreign Policy	13
384	Gut	3
385	Microwaves; Radio Frequencies	7
386	School Psychology	13
387	Vaccines	10
388	Environmental Law	13
389	Mass Spectrometry	5
390	Psychiatric Nursing	12
391	Asian Studies	9
392	Optimization Theory	11
393	Mathematical Science (Russia)	11
394	Gene Therapy	10
395	Security; Cryptography	7
396	Materials Processing	4
397	Rural Health Care	12
398	Power Systems	7
399	Surgical Oncology	3
400	Chip Design & Manufacturing	7
401	Sociobiology	1
402	Molecular Medicine	12
403	Human Resource Management	13
404	Ecological Modeling	1
405	Clinical Rehabilitation	3
406	Metallurgy	4
407	Ethics	9
408	Marital & Family Therapy	13
409	Aerospace	4
410	Critical Studies	9
411	Econometrics	13
412	Neuroscience Methods	8
413	Mineralogy	6
414	Trauma	12
415	Thermal Analysis	5
416	Solar & Wind Power	4
417	Ocean Engineering	4
418	Educational Psychology	13
419	Mycology	1
420	Semiotics	9
421	Dyes & Pigments	4
422	Drug Safety	3
423	Molecular Ecology	1
424	Cytogenetics & Genome Mapping	10
425	Clinical Psychiatry	12
426	Paleogeography	6
427	Water Waste	4
428	Computer Networks	7
429	Weed Management	1
430	User Interface Design	7
431	Public Policy	13
432	Liquid Crystals	5
433	Control Systems	7
434	Environmental Policy	13
435	Topology	11
436	Construction	4
437	Dams & Tunnels	4
438	Regional Studies	13
439	Electrochemical Development	4
440	Digital Printing	4
441	Peptides	10
442	Applied Geophysics	4
443	Sexually Transmitted Diseases	10
444	Engineering Education	13
445	NeuroImmunology	8
446	Machine Learning	7
447	Geriatric Nursing	12
448	Sensors & Actuators	4
449	Systematics & Evolutionary Microbiology	2
450	Medical Image Processing	7
451	Medical Education	12
452	Magnetic Resonance Imagery	8
453	Hospital Management	12
454	Insect Physiology	1
455	Power Transmission	7
456	Food Engineering	2
457	Oral Surgery	12
458	Computer Systems Theory	7
459	Combustion	4
460	Dermatological Surgery	3
461	Wildlife Research	1
462	Midwifery	12
463	Physics; Current Developments	11
464	Pyschiatric & Behavioral Genetics	13
465	Fractures & Fatigue	4
466	Emergency Medicine	12
467	Cross Disciplinary Studies	9
468	Archeological Science	6
469	Preventive Medicine	12
470	Carbon	5
